Rivington House
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
02/21/2013,  13:00:00,       21.82,      120.00,        0.00,        0.00
02/21/2013,  14:00:00,      117.85,      120.60,        0.00,        0.00
02/21/2013,  15:00:00,      117.03,      121.80,        0.00,        0.00
02/21/2013,  16:00:00,      100.61,      121.20,        0.00,        0.00
02/21/2013,  17:00:00,      107.55,      123.00,        0.00,        0.00
02/21/2013,  18:00:00,      108.32,      121.80,        0.00,        0.00
02/21/2013,  19:00:00,      108.38,      121.80,        0.00,        0.00
02/21/2013,  20:00:00,       99.31,      121.80,        0.00,        0.00
02/21/2013,  21:00:00,      108.82,      121.80,        0.00,        0.00
02/21/2013,  22:00:00,      107.45,      122.40,        0.00,        0.00
02/21/2013,  23:00:00,       69.26,      121.20,        0.00,        0.00
02/22/2013,  00:00:00,       57.62,       58.20,        0.00,        0.00
02/22/2013,  01:00:00,       57.42,       60.00,        0.00,        0.00
02/22/2013,  02:00:00,       57.51,       60.00,        0.00,        0.00
02/22/2013,  03:00:00,       57.60,       60.00,        0.00,        0.00
02/22/2013,  04:00:00,       57.58,       60.00,        0.00,        0.00
02/22/2013,  05:00:00,       57.64,       60.00,        0.00,        0.00
02/22/2013,  06:00:00,       57.57,       60.00,        0.00,        0.00
02/22/2013,  07:00:00,       57.40,       60.00,        0.00,        0.00
02/22/2013,  08:00:00,       57.51,       60.00,        0.00,        0.00
02/22/2013,  09:00:00,       62.19,      121.80,        0.00,        0.00
02/22/2013,  10:00:00,      108.58,      123.61,        0.00,        0.00
02/22/2013,  11:00:00,      114.28,      121.80,        0.00,        0.00
02/22/2013,  12:00:00,       75.27,      119.40,        0.00,        0.00
02/22/2013,  13:00:00,       96.59,      121.20,        0.00,        0.00
02/22/2013,  14:00:00,       74.94,      120.00,        0.00,        0.00
02/22/2013,  15:00:00,       57.69,       61.20,        0.00,        0.00
02/22/2013,  16:00:00,       57.67,       60.60,        0.00,        0.00
02/22/2013,  17:00:00,       99.00,      121.20,        0.00,        0.00
02/22/2013,  18:00:00,      118.43,      121.80,        0.00,        0.00
02/22/2013,  19:00:00,      118.48,      121.80,        0.00,        0.00
02/22/2013,  20:00:00,      118.50,      121.80,        0.00,        0.00
02/22/2013,  21:00:00,      118.49,      122.40,        0.00,        0.00
02/22/2013,  22:00:00,      118.38,      122.40,        0.00,        0.00
02/22/2013,  23:00:00,      118.53,      123.59,        0.00,        0.00
02/23/2013,  00:00:00,      118.53,      121.80,        0.00,        0.00
02/23/2013,  01:00:00,      118.32,      121.80,        0.00,        0.00
02/23/2013,  02:00:00,      118.35,      121.80,        0.00,        0.00
02/23/2013,  03:00:00,      118.32,      122.38,        0.00,        0.00
02/23/2013,  04:00:00,      118.13,      121.80,        0.00,        0.00
