Rome Memorial Hospital
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
06/08/2011,  23:00:00,      635.00,      864.00,        3.00,        3.00
06/09/2011,  00:00:00,      825.00,      840.00,        3.00,        3.00
06/09/2011,  01:00:00,      813.00,      825.00,        3.00,        3.00
06/09/2011,  02:00:00,      797.00,      804.00,        3.00,        3.00
06/09/2011,  03:00:00,      788.00,      790.00,        3.00,        3.00
06/09/2011,  04:00:00,      776.00,      796.00,        3.00,        3.00
06/09/2011,  05:00:00,      809.00,      841.00,        3.00,        3.00
06/09/2011,  06:00:00,      667.00,      910.00,        3.00,        3.00
06/09/2011,  07:00:00,      507.00,     1043.00,        3.00,        3.00
06/09/2011,  08:00:00,     1048.00,     1076.00,        3.00,        3.00
06/09/2011,  09:00:00,     1081.00,     1104.00,        3.00,        3.00
06/09/2011,  10:00:00,     1090.00,     1110.00,        3.00,        3.00
06/09/2011,  11:00:00,     1098.00,     1111.00,        3.00,        3.00
06/09/2011,  12:00:00,     1095.00,     1109.00,        3.00,        3.00
06/09/2011,  13:00:00,     1095.00,     1118.00,        3.00,        3.00
06/09/2011,  14:00:00,     1061.00,     1091.00,        3.00,        3.00
06/09/2011,  15:00:00,     1002.00,     1021.00,        3.00,        3.00
06/09/2011,  16:00:00,      979.00,      989.00,        3.00,        3.00
06/09/2011,  17:00:00,      971.00,      991.00,        3.00,        3.00
06/09/2011,  18:00:00,      923.00,      948.00,        3.00,        3.00
06/09/2011,  19:00:00,      882.00,      915.00,        3.00,        3.00
06/09/2011,  20:00:00,      875.00,      887.00,        3.00,        3.00
06/09/2011,  21:00:00,      858.00,      874.00,        3.00,        3.00
06/09/2011,  22:00:00,      836.00,      850.00,        3.00,        3.00
06/09/2011,  23:00:00,      832.00,      840.00,        3.00,        3.00
06/10/2011,  00:00:00,      820.00,      839.00,        3.00,        3.00
06/10/2011,  01:00:00,      783.00,      802.00,        3.00,        3.00
06/10/2011,  02:00:00,      755.00,      769.00,        3.00,        3.00
06/10/2011,  03:00:00,      735.00,      740.00,        3.00,        3.00
06/10/2011,  04:00:00,      729.00,      742.00,        3.00,        3.00
06/10/2011,  05:00:00,      760.00,      774.00,        3.00,        3.00
06/10/2011,  06:00:00,      831.00,      880.00,        3.00,        3.00
06/10/2011,  07:00:00,      422.00,      897.00,        3.00,        3.00
06/10/2011,  08:00:00,      881.00,      891.00,        3.00,        3.00
06/10/2011,  09:00:00,      900.00,      910.00,        3.00,        3.00
06/10/2011,  10:00:00,      894.00,      912.00,        3.00,        3.00
06/10/2011,  11:00:00,      894.00,      902.00,        3.00,        3.00
06/10/2011,  12:00:00,      904.00,      920.00,        3.00,        3.00
06/10/2011,  13:00:00,      902.00,      911.00,        3.00,        3.00
06/10/2011,  14:00:00,      872.00,      894.00,        3.00,        3.00
