Ronald McDonald House
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
09/01/2016,  00:00:00,      161.50,      166.00,        3.00,        3.00
09/01/2016,  01:00:00,      159.75,      167.00,        3.00,        3.00
09/01/2016,  02:00:00,      154.50,      158.00,        3.00,        3.00
09/01/2016,  03:00:00,      158.50,      164.00,        3.00,        3.00
09/01/2016,  04:00:00,      159.75,      163.00,        3.00,        3.00
09/01/2016,  05:00:00,      156.00,      163.00,        3.00,        3.00
09/01/2016,  06:00:00,      155.25,      159.00,        3.00,        3.00
09/01/2016,  07:00:00,      165.75,      179.00,        3.00,        3.00
09/01/2016,  08:00:00,      176.50,      183.00,        3.00,        3.00
09/01/2016,  09:00:00,      184.25,      190.00,        3.00,        3.00
09/01/2016,  10:00:00,      182.25,      190.00,        3.00,        3.00
09/01/2016,  11:00:00,      189.00,      194.00,        3.00,        3.00
09/01/2016,  12:00:00,      190.25,      196.00,        3.00,        3.00
09/01/2016,  13:00:00,      186.75,      194.00,        3.00,        3.00
09/01/2016,  14:00:00,      181.50,      190.00,        3.00,        3.00
09/01/2016,  15:00:00,      187.75,      190.00,        3.00,        3.00
09/01/2016,  16:00:00,      181.25,      194.00,        3.00,        3.00
09/01/2016,  17:00:00,      179.50,      183.00,        3.00,        3.00
09/01/2016,  18:00:00,      174.25,      188.00,        3.00,        3.00
09/01/2016,  19:00:00,      181.50,      195.00,        3.00,        3.00
09/01/2016,  20:00:00,      175.50,      191.00,        3.00,        3.00
09/01/2016,  21:00:00,      168.75,      179.00,        3.00,        3.00
09/01/2016,  22:00:00,      168.25,      176.00,        3.00,        3.00
09/01/2016,  23:00:00,      161.75,      179.00,        3.00,        3.00
09/02/2016,  00:00:00,      154.00,      163.00,        3.00,        3.00
09/02/2016,  01:00:00,      147.50,      155.00,        3.00,        3.00
09/02/2016,  02:00:00,      152.25,      154.00,        3.00,        3.00
09/02/2016,  03:00:00,      151.25,      153.00,        3.00,        3.00
09/02/2016,  04:00:00,      147.00,      153.00,        3.00,        3.00
09/02/2016,  05:00:00,      149.75,      156.00,        3.00,        3.00
09/02/2016,  06:00:00,      147.25,      150.00,        3.00,        3.00
09/02/2016,  07:00:00,      153.25,      162.00,        3.00,        3.00
09/02/2016,  08:00:00,      167.50,      181.00,        3.00,        3.00
09/02/2016,  09:00:00,      178.25,      182.00,        3.00,        3.00
09/02/2016,  10:00:00,      180.75,      189.00,        3.00,        3.00
09/02/2016,  11:00:00,      178.00,      181.00,        3.00,        3.00
09/02/2016,  12:00:00,      186.25,      202.00,        3.00,        3.00
09/02/2016,  13:00:00,      176.50,      188.00,        3.00,        3.00
09/02/2016,  14:00:00,      178.75,      187.00,        3.00,        3.00
09/02/2016,  15:00:00,      173.25,      177.00,        3.00,        3.00
