Roosevelt Landings
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
08/01/2014,  03:00:00,       45.37,      272.21,        0.00,        0.00
08/01/2014,  04:00:00,      221.44,      234.85,        0.00,        0.00
08/01/2014,  05:00:00,      237.49,      265.02,        0.00,        0.00
08/01/2014,  06:00:00,      234.91,      255.12,        0.00,        0.00
08/01/2014,  07:00:00,      239.66,      253.71,        0.00,        0.00
08/01/2014,  08:00:00,      185.28,      188.25,        0.00,        0.00
08/01/2014,  09:00:00,      187.26,      188.12,        0.00,        0.00
08/01/2014,  10:00:00,      183.31,      189.04,        0.00,        0.00
08/01/2014,  11:00:00,      185.23,      189.28,        0.00,        0.00
08/01/2014,  12:00:00,      185.80,      189.31,        0.00,        0.00
08/01/2014,  13:00:00,      185.28,      188.68,        0.00,        0.00
08/01/2014,  14:00:00,      184.75,      188.62,        0.00,        0.00
08/01/2014,  15:00:00,      183.46,      189.16,        0.00,        0.00
08/01/2014,  16:00:00,      188.81,      189.98,        0.00,        0.00
08/01/2014,  17:00:00,      186.71,      189.52,        0.00,        0.00
08/01/2014,  18:00:00,      185.02,      189.80,        0.00,        0.00
08/01/2014,  19:00:00,      188.20,      189.05,        0.00,        0.00
08/01/2014,  20:00:00,      185.66,      188.03,        0.00,        0.00
08/01/2014,  21:00:00,      179.44,      183.72,        0.00,        0.00
08/01/2014,  22:00:00,      178.78,      181.19,        0.00,        0.00
08/01/2014,  23:00:00,      175.57,      179.74,        0.00,        0.00
08/02/2014,  00:00:00,      177.12,      179.99,        0.00,        0.00
08/02/2014,  01:00:00,      177.78,      181.51,        0.00,        0.00
08/02/2014,  02:00:00,      185.56,      189.27,        0.00,        0.00
08/02/2014,  03:00:00,      185.85,      189.16,        0.00,        0.00
08/02/2014,  04:00:00,      188.83,      189.63,        0.00,        0.00
08/02/2014,  05:00:00,      189.03,      189.65,        0.00,        0.00
08/02/2014,  06:00:00,      186.36,      190.00,        0.00,        0.00
08/02/2014,  07:00:00,      189.28,      189.66,        0.00,        0.00
08/02/2014,  08:00:00,      183.87,      189.93,        0.00,        0.00
08/02/2014,  09:00:00,       41.23,      132.69,        0.00,        0.00
08/02/2014,  10:00:00,       46.09,       93.55,        0.00,        0.00
08/02/2014,  11:00:00,       45.92,       92.97,        0.00,        0.00
08/02/2014,  12:00:00,       46.12,       93.11,        0.00,        0.00
08/02/2014,  13:00:00,       46.05,       92.54,        0.00,        0.00
08/02/2014,  14:00:00,       61.02,       92.49,        0.00,        0.00
08/02/2014,  15:00:00,       30.57,       92.54,        0.00,        0.00
08/02/2014,  16:00:00,       46.16,       93.58,        0.00,        0.00
08/02/2014,  17:00:00,       46.30,       93.28,        0.00,        0.00
08/02/2014,  18:00:00,       15.31,       91.89,        0.00,        0.00
