Roosevelt Terrace
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
12/29/2016,  14:00:00,        8.74,       77.32,        0.00,        0.00
12/29/2016,  15:00:00,       73.60,       78.16,        0.00,        0.00
12/29/2016,  16:00:00,       75.26,       76.95,        0.00,        0.00
12/29/2016,  17:00:00,       75.69,       77.99,        0.00,        0.00
12/29/2016,  18:00:00,       75.93,       77.88,        0.00,        0.00
12/29/2016,  19:00:00,       75.74,       77.48,        0.00,        0.00
12/29/2016,  20:00:00,       75.75,       79.16,        0.00,        0.00
12/29/2016,  21:00:00,       75.74,       77.81,        0.00,        0.00
12/29/2016,  22:00:00,       73.82,       77.66,        0.00,        0.00
12/29/2016,  23:00:00,       65.50,       75.79,        0.00,        0.00
12/30/2016,  00:00:00,       59.12,       67.18,        0.00,        0.00
12/30/2016,  01:00:00,       51.19,       60.48,        0.00,        0.00
12/30/2016,  02:00:00,       46.09,       51.64,        0.00,        0.00
12/30/2016,  03:00:00,       43.06,       52.28,        0.00,        0.00
12/30/2016,  04:00:00,       44.85,       53.90,        0.00,        0.00
12/30/2016,  05:00:00,       51.97,       60.16,        0.00,        0.00
12/30/2016,  06:00:00,       54.53,       63.88,        0.00,        0.00
12/30/2016,  07:00:00,       60.20,       68.74,        0.00,        0.00
12/30/2016,  08:00:00,       61.22,       69.07,        0.00,        0.00
12/30/2016,  09:00:00,       67.02,       76.43,        0.00,        0.00
12/30/2016,  10:00:00,       71.29,       76.61,        0.00,        0.00
12/30/2016,  11:00:00,       75.36,       80.17,        0.00,        0.00
12/30/2016,  12:00:00,       73.36,       77.75,        0.00,        0.00
12/30/2016,  13:00:00,       72.91,       82.76,        0.00,        0.00
12/30/2016,  14:00:00,       70.76,       76.95,        0.00,        0.00
12/30/2016,  15:00:00,       74.60,       77.93,        0.00,        0.00
12/30/2016,  16:00:00,       75.99,       78.14,        0.00,        0.00
12/30/2016,  17:00:00,       75.91,       78.40,        0.00,        0.00
12/30/2016,  18:00:00,       75.93,       79.40,        0.00,        0.00
12/30/2016,  19:00:00,       75.90,       78.47,        0.00,        0.00
12/30/2016,  20:00:00,       76.08,       78.20,        0.00,        0.00
12/30/2016,  21:00:00,       75.40,       77.89,        0.00,        0.00
12/30/2016,  22:00:00,       74.29,       77.34,        0.00,        0.00
12/30/2016,  23:00:00,       68.19,       76.14,        0.00,        0.00
12/31/2016,  00:00:00,       59.01,       65.53,        0.00,        0.00
12/31/2016,  01:00:00,       56.00,       62.24,        0.00,        0.00
12/31/2016,  02:00:00,       47.83,       58.94,        0.00,        0.00
12/31/2016,  03:00:00,       41.68,       48.23,        0.00,        0.00
12/31/2016,  04:00:00,       43.44,       52.74,        0.00,        0.00
12/31/2016,  05:00:00,       51.40,       58.04,        0.00,        0.00
