SUNY ESF
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
07/22/2016,  23:00:00,      349.00,     1396.00,        3.00,        3.00
07/23/2016,  00:00:00,     1204.00,     1224.00,        3.00,        3.00
07/23/2016,  01:00:00,     1168.00,     1188.00,        3.00,        3.00
07/23/2016,  02:00:00,     1158.00,     1180.00,        3.00,        3.00
07/23/2016,  03:00:00,     1147.00,     1164.00,        3.00,        3.00
07/23/2016,  04:00:00,     1148.00,     1164.00,        3.00,        3.00
07/23/2016,  05:00:00,     1172.00,     1184.00,        3.00,        3.00
07/23/2016,  06:00:00,     1182.00,     1204.00,        3.00,        3.00
07/23/2016,  07:00:00,     1199.00,     1220.00,        3.00,        3.00
07/23/2016,  08:00:00,     1208.00,     1236.00,        3.00,        3.00
07/23/2016,  09:00:00,     1215.00,     1228.00,        3.00,        3.00
07/23/2016,  10:00:00,     1199.00,     1208.00,        3.00,        3.00
07/23/2016,  11:00:00,     1208.00,     1232.00,        3.00,        3.00
07/23/2016,  12:00:00,     1237.00,     1252.00,        3.00,        3.00
07/23/2016,  13:00:00,     1223.00,     1232.00,        3.00,        3.00
07/23/2016,  14:00:00,     1225.00,     1236.00,        3.00,        3.00
07/23/2016,  15:00:00,     1249.00,     1268.00,        3.00,        3.00
07/23/2016,  16:00:00,     1235.00,     1264.00,        3.00,        3.00
07/23/2016,  17:00:00,     1261.00,     1284.00,        3.00,        3.00
07/23/2016,  18:00:00,     1279.00,     1292.00,        3.00,        3.00
07/23/2016,  19:00:00,     1268.00,     1284.00,        3.00,        3.00
07/23/2016,  20:00:00,     1260.00,     1296.00,        3.00,        3.00
07/23/2016,  21:00:00,     1229.00,     1284.00,        3.00,        3.00
07/23/2016,  22:00:00,     1203.00,     1236.00,        3.00,        3.00
07/23/2016,  23:00:00,     1197.00,     1212.00,        3.00,        3.00
07/24/2016,  00:00:00,     1176.00,     1204.00,        3.00,        3.00
07/24/2016,  01:00:00,     1158.00,     1172.00,        3.00,        3.00
07/24/2016,  02:00:00,     1152.00,     1180.00,        3.00,        3.00
07/24/2016,  03:00:00,     1137.00,     1160.00,        3.00,        3.00
07/24/2016,  04:00:00,     1133.00,     1148.00,        3.00,        3.00
07/24/2016,  05:00:00,     1128.00,     1152.00,        3.00,        3.00
07/24/2016,  06:00:00,     1133.00,     1156.00,        3.00,        3.00
07/24/2016,  07:00:00,     1155.00,     1176.00,        3.00,        3.00
07/24/2016,  08:00:00,     1184.00,     1220.00,        3.00,        3.00
07/24/2016,  09:00:00,     1202.00,     1208.00,        3.00,        3.00
07/24/2016,  10:00:00,     1213.00,     1220.00,        3.00,        3.00
07/24/2016,  11:00:00,     1205.00,     1216.00,        3.00,        3.00
07/24/2016,  12:00:00,     1200.00,     1232.00,        3.00,        3.00
