Saints Joachim & Anne
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
06/29/2011,  00:00:00,      225.25,      259.10,        3.00,        3.00
06/29/2011,  01:00:00,      244.45,      272.80,        3.00,        3.00
06/29/2011,  02:00:00,      229.93,      253.90,        3.00,        3.00
06/29/2011,  03:00:00,      208.82,      236.70,        3.00,        3.00
06/29/2011,  04:00:00,      207.08,      224.60,        3.00,        3.00
06/29/2011,  05:00:00,      271.20,      302.80,        3.00,        3.00
06/29/2011,  06:00:00,      285.18,      299.70,        3.00,        3.00
06/29/2011,  07:00:00,      284.32,      312.40,        3.00,        3.00
06/29/2011,  08:00:00,      336.08,      366.40,        3.00,        3.00
06/29/2011,  09:00:00,      353.73,      362.70,        3.00,        3.00
06/29/2011,  10:00:00,      353.05,      635.70,        3.00,        3.00
06/29/2011,  11:00:00,      330.82,      615.10,        3.00,        3.00
06/29/2011,  12:00:00,      339.30,      359.20,        3.00,        3.00
06/29/2011,  13:00:00,      344.32,      354.60,        3.00,        3.00
06/29/2011,  14:00:00,      357.83,      364.40,        3.00,        3.00
06/29/2011,  15:00:00,      329.90,      355.80,        3.00,        3.00
06/29/2011,  16:00:00,      294.88,      356.40,        3.00,        3.00
06/29/2011,  17:00:00,      320.35,      355.60,        3.00,        3.00
06/29/2011,  18:00:00,      311.82,      358.70,        3.00,        3.00
06/29/2011,  19:00:00,      256.70,      278.00,        3.00,        3.00
06/29/2011,  20:00:00,      246.90,      281.10,        3.00,        3.00
06/29/2011,  21:00:00,      244.97,      300.70,        3.00,        3.00
06/29/2011,  22:00:00,      215.32,      240.60,        3.00,        3.00
06/29/2011,  23:00:00,      202.45,      232.20,        3.00,        3.00
06/30/2011,  00:00:00,      220.18,      257.50,        3.00,        3.00
06/30/2011,  01:00:00,      186.00,      200.30,        3.00,        3.00
06/30/2011,  02:00:00,      204.47,      220.10,        3.00,        3.00
06/30/2011,  03:00:00,      180.18,      197.00,        3.00,        3.00
06/30/2011,  04:00:00,      182.97,      217.80,        3.00,        3.00
06/30/2011,  05:00:00,      234.98,      258.70,        3.00,        3.00
06/30/2011,  06:00:00,      277.05,      329.30,        3.00,        3.00
06/30/2011,  07:00:00,      272.30,      294.50,        3.00,        3.00
06/30/2011,  08:00:00,      292.50,      313.20,        3.00,        3.00
06/30/2011,  09:00:00,      327.50,      346.40,        3.00,        3.00
06/30/2011,  10:00:00,      329.18,      344.40,        3.00,        3.00
06/30/2011,  11:00:00,      310.80,      332.40,        3.00,        3.00
06/30/2011,  12:00:00,      306.35,      341.00,        3.00,        3.00
06/30/2011,  13:00:00,      307.25,      333.70,        3.00,        3.00
06/30/2011,  14:00:00,      322.25,      336.70,        3.00,        3.00
06/30/2011,  15:00:00,      317.07,      351.60,        3.00,        3.00
