Seapark East - Brooklyn, NY
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
09/28/2009,  13:00:00,        8.74,      524.57,        0.00,        0.00
11/24/2009,  14:00:00,        1.21,       72.77,        0.00,        0.00
04/01/2010,  00:00:00,      118.31,      120.37,        0.00,        0.00
04/01/2010,  01:00:00,      120.31,      120.40,        0.00,        0.00
04/01/2010,  02:00:00,      120.19,      120.38,        0.00,        0.00
04/01/2010,  03:00:00,      120.22,      120.25,        0.00,        0.00
04/01/2010,  04:00:00,      120.14,      120.25,        0.00,        0.00
04/01/2010,  05:00:00,      120.23,      120.41,        0.00,        0.00
04/01/2010,  06:00:00,      120.17,      120.41,        0.00,        0.00
04/01/2010,  07:00:00,      119.81,      120.04,        0.00,        0.00
04/01/2010,  08:00:00,      119.81,      119.86,        0.00,        0.00
04/01/2010,  09:00:00,      119.90,      120.01,        0.00,        0.00
04/01/2010,  10:00:00,      119.89,      119.95,        0.00,        0.00
04/01/2010,  11:00:00,      120.31,      120.50,        0.00,        0.00
04/01/2010,  12:00:00,      120.66,      120.73,        0.00,        0.00
04/01/2010,  13:00:00,      120.77,      120.86,        0.00,        0.00
04/01/2010,  14:00:00,      124.82,      128.73,        0.00,        0.00
04/01/2010,  15:00:00,      120.80,      128.70,        0.00,        0.00
04/01/2010,  16:00:00,      120.87,      120.97,        0.00,        0.00
04/01/2010,  17:00:00,      120.98,      121.06,        0.00,        0.00
04/01/2010,  18:00:00,      121.00,      121.13,        0.00,        0.00
04/01/2010,  19:00:00,      120.71,      120.98,        0.00,        0.00
04/01/2010,  20:00:00,      120.50,      120.67,        0.00,        0.00
04/01/2010,  21:00:00,      120.58,      120.65,        0.00,        0.00
04/01/2010,  22:00:00,      120.81,      120.90,        0.00,        0.00
04/01/2010,  23:00:00,      120.91,      121.00,        0.00,        0.00
04/02/2010,  00:00:00,      120.92,      121.02,        0.00,        0.00
04/02/2010,  01:00:00,      120.90,      121.02,        0.00,        0.00
04/02/2010,  02:00:00,      122.14,      123.48,        0.00,        0.00
04/02/2010,  03:00:00,      120.89,      123.36,        0.00,        0.00
04/02/2010,  04:00:00,      120.46,      120.80,        0.00,        0.00
04/02/2010,  05:00:00,      120.02,      120.30,        0.00,        0.00
04/02/2010,  06:00:00,      120.58,      120.64,        0.00,        0.00
04/02/2010,  07:00:00,      120.32,      120.57,        0.00,        0.00
04/02/2010,  08:00:00,      120.21,      120.29,        0.00,        0.00
04/02/2010,  09:00:00,      120.22,      120.25,        0.00,        0.00
04/02/2010,  10:00:00,      120.43,      120.51,        0.00,        0.00
04/02/2010,  11:00:00,      120.47,      120.54,        0.00,        0.00
04/02/2010,  12:00:00,      120.50,      120.58,        0.00,        0.00
04/02/2010,  13:00:00,      120.55,      120.63,        0.00,        0.00
