Seapark West - Brooklyn, NY
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
10/01/2009,  00:00:00,      135.08,      137.47,        0.00,        0.00
10/01/2009,  01:00:00,      137.19,      137.33,        0.00,        0.00
10/01/2009,  02:00:00,      137.14,      137.19,        0.00,        0.00
10/01/2009,  03:00:00,      137.09,      137.17,        0.00,        0.00
10/01/2009,  04:00:00,      137.39,      137.54,        0.00,        0.00
10/01/2009,  05:00:00,      137.47,      137.87,        0.00,        0.00
10/01/2009,  06:00:00,      137.78,      137.94,        0.00,        0.00
10/01/2009,  07:00:00,      137.65,      137.70,        0.00,        0.00
10/01/2009,  08:00:00,      137.65,      137.70,        0.00,        0.00
10/01/2009,  09:00:00,      137.70,      137.81,        0.00,        0.00
10/01/2009,  10:00:00,      121.97,      137.88,        0.00,        0.00
10/01/2009,  11:00:00,       94.71,      137.89,        0.00,        0.00
10/01/2009,  12:00:00,      125.46,      137.92,        0.00,        0.00
10/01/2009,  13:00:00,      138.05,      138.09,        0.00,        0.00
10/01/2009,  14:00:00,      138.35,      138.44,        0.00,        0.00
10/01/2009,  15:00:00,      119.06,      138.63,        0.00,        0.00
10/01/2009,  16:00:00,       82.94,      138.65,        0.00,        0.00
10/01/2009,  17:00:00,      120.72,      138.64,        0.00,        0.00
10/01/2009,  18:00:00,      138.69,      138.70,        0.00,        0.00
10/01/2009,  19:00:00,      138.57,      138.77,        0.00,        0.00
10/01/2009,  20:00:00,      137.89,      138.41,        0.00,        0.00
10/01/2009,  21:00:00,      137.91,      137.96,        0.00,        0.00
10/01/2009,  22:00:00,      137.99,      138.08,        0.00,        0.00
10/01/2009,  23:00:00,      137.53,      137.94,        0.00,        0.00
10/02/2009,  00:00:00,      137.22,      137.41,        0.00,        0.00
10/02/2009,  01:00:00,      137.58,      137.84,        0.00,        0.00
10/02/2009,  02:00:00,      138.09,      138.14,        0.00,        0.00
10/02/2009,  03:00:00,      137.46,      138.14,        0.00,        0.00
10/02/2009,  04:00:00,      137.48,      137.49,        0.00,        0.00
10/02/2009,  05:00:00,      137.71,      137.81,        0.00,        0.00
10/02/2009,  06:00:00,      137.92,      137.99,        0.00,        0.00
10/02/2009,  07:00:00,      138.01,      138.06,        0.00,        0.00
10/02/2009,  08:00:00,      138.02,      138.14,        0.00,        0.00
10/02/2009,  09:00:00,      138.30,      138.38,        0.00,        0.00
10/02/2009,  10:00:00,      138.56,      138.74,        0.00,        0.00
10/02/2009,  11:00:00,      138.65,      138.76,        0.00,        0.00
10/02/2009,  12:00:00,      138.77,      138.81,        0.00,        0.00
10/02/2009,  13:00:00,      138.68,      138.83,        0.00,        0.00
10/02/2009,  14:00:00,      138.62,      138.67,        0.00,        0.00
10/02/2009,  15:00:00,      138.66,      138.76,        0.00,        0.00
