Seaside Apartments
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
02/29/2012,  08:00:00,       49.72,       78.00,        0.00,        0.00
02/29/2012,  09:00:00,       57.27,       58.20,        0.00,        0.00
02/29/2012,  10:00:00,       56.80,       57.00,        0.00,        0.00
02/29/2012,  11:00:00,       56.76,       57.00,        0.00,        0.00
02/29/2012,  12:00:00,       56.74,       57.60,        0.00,        0.00
02/29/2012,  13:00:00,       56.76,       57.00,        0.00,        0.00
02/29/2012,  14:00:00,       56.74,       57.00,        0.00,        0.00
02/29/2012,  15:00:00,       56.73,       57.60,        0.00,        0.00
02/29/2012,  16:00:00,       56.53,       57.60,        0.00,        0.00
02/29/2012,  17:00:00,       56.36,       57.00,        0.00,        0.00
02/29/2012,  18:00:00,       56.52,       57.60,        0.00,        0.00
02/29/2012,  19:00:00,       57.15,       57.60,        0.00,        0.00
02/29/2012,  20:00:00,       57.39,       58.20,        0.00,        0.00
02/29/2012,  21:00:00,       57.30,       57.60,        0.00,        0.00
02/29/2012,  22:00:00,       57.29,       57.60,        0.00,        0.00
02/29/2012,  23:00:00,       57.21,       57.60,        0.00,        0.00
03/01/2012,  00:00:00,       57.25,       58.21,        0.00,        0.00
03/01/2012,  01:00:00,       57.10,       58.20,        0.00,        0.00
03/01/2012,  02:00:00,       57.24,       58.20,        0.00,        0.00
03/01/2012,  03:00:00,       57.19,       58.20,        0.00,        0.00
03/01/2012,  04:00:00,       57.20,       58.21,        0.00,        0.00
03/01/2012,  05:00:00,       57.15,       58.20,        0.00,        0.00
03/01/2012,  06:00:00,       56.84,       57.60,        0.00,        0.00
03/01/2012,  07:00:00,       56.94,       57.60,        0.00,        0.00
03/01/2012,  08:00:00,       57.52,       58.21,        0.00,        0.00
03/01/2012,  09:00:00,       57.63,       58.21,        0.00,        0.00
03/01/2012,  10:00:00,       57.49,       58.21,        0.00,        0.00
03/01/2012,  11:00:00,       57.31,       57.60,        0.00,        0.00
03/01/2012,  12:00:00,       57.36,       57.60,        0.00,        0.00
03/01/2012,  13:00:00,       57.42,       58.20,        0.00,        0.00
03/01/2012,  14:00:00,       57.32,       57.60,        0.00,        0.00
03/01/2012,  15:00:00,       57.31,       57.60,        0.00,        0.00
03/01/2012,  16:00:00,       57.17,       57.60,        0.00,        0.00
03/01/2012,  17:00:00,       57.27,       58.20,        0.00,        0.00
03/01/2012,  18:00:00,       57.54,       58.20,        0.00,        0.00
03/01/2012,  19:00:00,       57.55,       58.21,        0.00,        0.00
03/01/2012,  20:00:00,       57.37,       58.20,        0.00,        0.00
03/01/2012,  21:00:00,       57.28,       57.61,        0.00,        0.00
03/01/2012,  22:00:00,       57.16,       57.61,        0.00,        0.00
03/01/2012,  23:00:00,       57.21,       58.20,        0.00,        0.00
