Sheraton New York Hotel
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
05/09/2005,  15:00:00,      160.84,      161.01,        0.00,        0.00
05/09/2005,  16:00:00,      161.12,      161.53,        0.00,        0.00
05/09/2005,  17:00:00,      161.02,      161.68,        0.00,        0.00
05/09/2005,  18:00:00,      161.09,      161.56,        0.00,        0.00
05/09/2005,  19:00:00,      161.17,      161.51,        0.00,        0.00
05/09/2005,  20:00:00,      161.00,      161.53,        0.00,        0.00
05/09/2005,  21:00:00,      160.89,      161.07,        0.00,        0.00
05/09/2005,  22:00:00,      165.51,      171.95,        0.00,        0.00
05/09/2005,  23:00:00,      189.98,      200.16,        0.00,        0.00
05/10/2005,  00:00:00,      200.74,      201.10,        0.00,        0.00
05/10/2005,  01:00:00,      200.98,      201.27,        0.00,        0.00
05/10/2005,  02:00:00,      200.71,      200.97,        0.00,        0.00
05/10/2005,  03:00:00,      200.70,      201.04,        0.00,        0.00
05/10/2005,  04:00:00,      201.32,      201.68,        0.00,        0.00
05/10/2005,  05:00:00,      201.19,      201.51,        0.00,        0.00
05/10/2005,  06:00:00,      200.67,      201.05,        0.00,        0.00
05/10/2005,  07:00:00,      201.27,      201.74,        0.00,        0.00
05/10/2005,  08:00:00,      201.45,      202.01,        0.00,        0.00
05/10/2005,  09:00:00,      201.32,      201.60,        0.00,        0.00
05/10/2005,  10:00:00,      201.45,      202.14,        0.00,        0.00
05/10/2005,  11:00:00,      200.81,      201.32,        0.00,        0.00
05/10/2005,  12:00:00,      201.38,      201.83,        0.00,        0.00
05/10/2005,  13:00:00,      201.16,      201.46,        0.00,        0.00
05/10/2005,  14:00:00,      201.11,      201.35,        0.00,        0.00
05/10/2005,  15:00:00,      200.62,      201.14,        0.00,        0.00
05/10/2005,  16:00:00,      201.38,      202.06,        0.00,        0.00
05/10/2005,  17:00:00,      201.06,      201.85,        0.00,        0.00
05/10/2005,  18:00:00,      200.87,      201.14,        0.00,        0.00
05/10/2005,  19:00:00,      200.73,      201.76,        0.00,        0.00
05/10/2005,  20:00:00,      200.97,      201.25,        0.00,        0.00
05/10/2005,  21:00:00,      200.66,      201.22,        0.00,        0.00
05/10/2005,  22:00:00,      200.68,      201.11,        0.00,        0.00
05/10/2005,  23:00:00,      200.83,      201.83,        0.00,        0.00
05/11/2005,  00:00:00,      201.19,      201.67,        0.00,        0.00
05/11/2005,  01:00:00,      201.37,      202.38,        0.00,        0.00
05/11/2005,  02:00:00,      201.04,      201.33,        0.00,        0.00
05/11/2005,  03:00:00,      216.53,      227.03,        0.00,        0.00
05/11/2005,  04:00:00,      226.25,      227.01,        0.00,        0.00
05/11/2005,  05:00:00,      226.84,      227.98,        0.00,        0.00
05/11/2005,  06:00:00,      227.10,      228.10,        0.00,        0.00
