Shoprite Supermarket
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
11/28/2007,  00:00:00,       33.07,       38.99,        0.00,        0.00
11/28/2007,  01:00:00,       38.09,       40.87,        0.00,        0.00
11/28/2007,  02:00:00,       42.48,       48.24,        0.00,        0.00
11/28/2007,  03:00:00,       39.52,       43.82,        0.00,        0.00
11/28/2007,  04:00:00,       36.37,       42.18,        0.00,        0.00
11/28/2007,  05:00:00,       40.44,       48.91,        0.00,        0.00
11/28/2007,  06:00:00,       39.31,       46.72,        0.00,        0.00
11/28/2007,  07:00:00,       38.00,       44.02,        0.00,        0.00
11/28/2007,  08:00:00,       32.48,       41.56,        0.00,        0.00
11/28/2007,  09:00:00,       37.70,       68.56,        0.00,        0.00
11/28/2007,  10:00:00,       63.27,       68.38,        0.00,        0.00
11/28/2007,  11:00:00,       62.19,       69.33,        0.00,        0.00
11/28/2007,  12:00:00,       57.35,       73.26,        0.00,        0.00
11/28/2007,  13:00:00,       53.77,       60.37,        0.00,        0.00
11/28/2007,  14:00:00,       61.00,       73.12,        0.00,        0.00
11/28/2007,  15:00:00,       62.83,       71.31,        0.00,        0.00
11/28/2007,  16:00:00,       66.09,       69.66,        0.00,        0.00
11/28/2007,  17:00:00,       61.60,       69.19,        0.00,        0.00
11/28/2007,  18:00:00,       63.62,       65.34,        0.00,        0.00
11/28/2007,  19:00:00,       59.50,       58.91,        0.00,        0.00
11/28/2007,  20:00:00,       62.45,       71.62,        0.00,        0.00
11/28/2007,  21:00:00,       57.33,       65.00,        0.00,        0.00
11/28/2007,  22:00:00,       59.88,       72.75,        0.00,        0.00
11/28/2007,  23:00:00,       59.95,       71.11,        0.00,        0.00
11/29/2007,  00:00:00,       50.71,       51.08,        0.00,        0.00
11/29/2007,  01:00:00,       58.07,       62.25,        0.00,        0.00
11/29/2007,  02:00:00,       60.72,       62.13,        0.00,        0.00
11/29/2007,  03:00:00,       56.56,       59.92,        0.00,        0.00
11/29/2007,  04:00:00,       55.28,       64.91,        0.00,        0.00
11/29/2007,  05:00:00,       59.08,       61.20,        0.00,        0.00
11/29/2007,  06:00:00,       60.41,       65.31,        0.00,        0.00
11/29/2007,  07:00:00,       62.01,       71.24,        0.00,        0.00
11/29/2007,  08:00:00,       59.91,       73.17,        0.00,        0.00
11/29/2007,  09:00:00,       57.75,       70.03,        0.00,        0.00
11/29/2007,  10:00:00,       62.82,       72.41,        0.00,        0.00
11/29/2007,  11:00:00,       63.50,       71.05,        0.00,        0.00
11/29/2007,  12:00:00,       58.89,       64.01,        0.00,        0.00
11/29/2007,  13:00:00,       59.74,       67.86,        0.00,        0.00
11/29/2007,  14:00:00,       64.02,       68.02,        0.00,        0.00
11/29/2007,  15:00:00,       61.30,       73.99,        0.00,        0.00
