Shore View Nursing & Rehabilitation Center #2
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
02/08/2016,  00:00:00,        4.97,       74.87,        0.00,        0.00
02/08/2016,  01:00:00,        3.72,       74.69,        0.00,        0.00
02/08/2016,  02:00:00,        4.94,       74.56,        0.00,        0.00
02/08/2016,  03:00:00,        4.99,       75.50,        0.00,        0.00
02/08/2016,  04:00:00,        4.97,       74.64,        0.00,        0.00
02/08/2016,  05:00:00,        4.95,       74.47,        0.00,        0.00
02/08/2016,  06:00:00,        4.96,       74.75,        0.00,        0.00
02/08/2016,  07:00:00,        4.96,       74.53,        0.00,        0.00
02/08/2016,  08:00:00,        3.73,       75.06,        0.00,        0.00
02/08/2016,  09:00:00,       33.99,       75.28,        0.00,        0.00
02/08/2016,  10:00:00,       68.45,       75.73,        0.00,        0.00
02/08/2016,  11:00:00,       71.15,       75.95,        0.00,        0.00
02/08/2016,  12:00:00,       64.83,       75.60,        0.00,        0.00
02/08/2016,  13:00:00,       68.59,       75.70,        0.00,        0.00
02/08/2016,  14:00:00,       69.80,       75.50,        0.00,        0.00
02/08/2016,  15:00:00,       69.63,       75.47,        0.00,        0.00
02/08/2016,  16:00:00,       69.53,       75.51,        0.00,        0.00
02/08/2016,  17:00:00,       65.71,       75.39,        0.00,        0.00
02/08/2016,  18:00:00,       72.15,       75.69,        0.00,        0.00
02/08/2016,  19:00:00,       70.84,       75.52,        0.00,        0.00
02/08/2016,  20:00:00,       71.62,       75.55,        0.00,        0.00
02/08/2016,  21:00:00,       74.34,       75.20,        0.00,        0.00
02/08/2016,  22:00:00,       71.84,       75.41,        0.00,        0.00
02/08/2016,  23:00:00,       68.13,       75.28,        0.00,        0.00
02/09/2016,  00:00:00,       71.16,       75.36,        0.00,        0.00
02/09/2016,  01:00:00,       69.30,       75.65,        0.00,        0.00
02/09/2016,  02:00:00,       69.29,       75.23,        0.00,        0.00
02/09/2016,  03:00:00,       69.54,       75.09,        0.00,        0.00
02/09/2016,  04:00:00,       72.00,       75.17,        0.00,        0.00
02/09/2016,  05:00:00,       68.41,       75.11,        0.00,        0.00
02/09/2016,  06:00:00,       70.83,       75.66,        0.00,        0.00
02/09/2016,  07:00:00,       65.92,       75.41,        0.00,        0.00
02/09/2016,  08:00:00,       62.20,       75.76,        0.00,        0.00
02/09/2016,  09:00:00,       74.94,       75.80,        0.00,        0.00
02/09/2016,  10:00:00,       66.75,       76.10,        0.00,        0.00
02/09/2016,  11:00:00,       66.03,       75.38,        0.00,        0.00
02/09/2016,  12:00:00,       70.87,       75.64,        0.00,        0.00
02/09/2016,  13:00:00,       69.10,       75.79,        0.00,        0.00
02/09/2016,  14:00:00,       72.03,       75.19,        0.00,        0.00
02/09/2016,  15:00:00,       72.04,       75.40,        0.00,        0.00
