St Elizabeths CHP Plant
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
01/01/2012,  00:00:00,     1024.00,     1036.00,        3.00,        3.00
01/01/2012,  01:00:00,     1019.00,     1028.00,        3.00,        3.00
01/01/2012,  02:00:00,     1010.00,     1020.00,        3.00,        3.00
01/01/2012,  03:00:00,     1008.00,     1024.00,        3.00,        3.00
01/01/2012,  04:00:00,     1013.00,     1024.00,        3.00,        3.00
01/01/2012,  05:00:00,     1037.00,     1040.00,        3.00,        3.00
01/01/2012,  06:00:00,     1073.00,     1088.00,        3.00,        3.00
01/01/2012,  07:00:00,     1091.00,     1104.00,        3.00,        3.00
01/01/2012,  08:00:00,     1092.00,     1104.00,        3.00,        3.00
01/01/2012,  09:00:00,     1091.00,     1108.00,        3.00,        3.00
01/01/2012,  10:00:00,      558.00,     1120.00,        3.00,        3.00
01/01/2012,  11:00:00,     1106.00,     1132.00,        3.00,        3.00
01/01/2012,  12:00:00,     1095.00,     1108.00,        3.00,        3.00
01/01/2012,  13:00:00,     1096.00,     1116.00,        3.00,        3.00
01/01/2012,  14:00:00,     1094.00,     1112.00,        3.00,        3.00
01/01/2012,  15:00:00,     1087.00,     1092.00,        3.00,        3.00
01/01/2012,  16:00:00,     1113.00,     1128.00,        3.00,        3.00
01/01/2012,  17:00:00,     1108.00,     1120.00,        3.00,        3.00
01/01/2012,  18:00:00,     1095.00,     1108.00,        3.00,        3.00
01/01/2012,  19:00:00,     1084.00,     1088.00,        3.00,        3.00
01/01/2012,  20:00:00,     1077.00,     1096.00,        3.00,        3.00
01/01/2012,  21:00:00,     1066.00,     1076.00,        3.00,        3.00
01/01/2012,  22:00:00,     1058.00,     1068.00,        3.00,        3.00
01/01/2012,  23:00:00,     1035.00,     1044.00,        3.00,        3.00
01/02/2012,  00:00:00,     1025.00,     1040.00,        3.00,        3.00
01/02/2012,  01:00:00,     1028.00,     1040.00,        3.00,        3.00
01/02/2012,  02:00:00,     1034.00,     1040.00,        3.00,        3.00
01/02/2012,  03:00:00,     1029.00,     1040.00,        3.00,        3.00
01/02/2012,  04:00:00,     1025.00,     1032.00,        3.00,        3.00
01/02/2012,  05:00:00,     1062.00,     1068.00,        3.00,        3.00
01/02/2012,  06:00:00,     1091.00,     1104.00,        3.00,        3.00
01/02/2012,  07:00:00,     1125.00,     1132.00,        3.00,        3.00
01/02/2012,  08:00:00,     1140.00,     1148.00,        3.00,        3.00
01/02/2012,  09:00:00,     1135.00,     1156.00,        3.00,        3.00
01/02/2012,  10:00:00,     1143.00,     1160.00,        3.00,        3.00
01/02/2012,  11:00:00,     1120.00,     1136.00,        3.00,        3.00
01/02/2012,  12:00:00,     1130.00,     1140.00,        3.00,        3.00
01/02/2012,  13:00:00,     1134.00,     1152.00,        3.00,        3.00
