St Joseph's Hospital 
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
12/17/2014,  17:00:00,     1582.09,     3178.33,        0.00,        0.00
12/17/2014,  18:00:00,     3191.92,     3209.86,        0.00,        0.00
12/17/2014,  19:00:00,     3149.55,     3164.49,        0.00,        0.00
12/17/2014,  20:00:00,     3159.41,     3175.96,        0.00,        0.00
12/17/2014,  21:00:00,     3089.86,     3123.11,        0.00,        0.00
12/17/2014,  22:00:00,     2995.32,     3024.41,        0.00,        0.00
12/17/2014,  23:00:00,     2942.13,     2958.73,        0.00,        0.00
12/18/2014,  00:00:00,     2917.63,     2925.12,        0.00,        0.00
12/18/2014,  01:00:00,     2918.14,     2923.82,        0.00,        0.00
12/18/2014,  02:00:00,     2897.49,     2910.33,        0.00,        0.00
12/18/2014,  03:00:00,     2877.74,     2891.29,        0.00,        0.00
12/18/2014,  04:00:00,     2858.62,     2881.73,        0.00,        0.00
12/18/2014,  05:00:00,     2927.51,     2978.24,        0.00,        0.00
12/18/2014,  06:00:00,     2991.61,     3008.38,        0.00,        0.00
12/18/2014,  07:00:00,     3128.82,     3192.70,        0.00,        0.00
12/18/2014,  08:00:00,     3216.44,     3234.01,        0.00,        0.00
12/18/2014,  09:00:00,     3231.49,     3251.86,        0.00,        0.00
12/18/2014,  10:00:00,     3279.33,     3310.03,        0.00,        0.00
12/18/2014,  11:00:00,     3294.80,     3321.65,        0.00,        0.00
12/18/2014,  12:00:00,     3308.74,     3331.84,        0.00,        0.00
12/18/2014,  13:00:00,     3307.51,     3320.04,        0.00,        0.00
12/18/2014,  14:00:00,     3300.36,     3310.85,        0.00,        0.00
12/18/2014,  15:00:00,     3298.95,     3318.90,        0.00,        0.00
12/18/2014,  16:00:00,     3273.37,     3304.63,        0.00,        0.00
12/18/2014,  17:00:00,     3214.39,     3230.12,        0.00,        0.00
12/18/2014,  18:00:00,     3222.64,     3246.36,        0.00,        0.00
12/18/2014,  19:00:00,     3226.30,     3237.73,        0.00,        0.00
12/18/2014,  20:00:00,     3128.55,     3165.82,        0.00,        0.00
12/18/2014,  21:00:00,     3026.70,     3055.71,        0.00,        0.00
12/18/2014,  22:00:00,     2985.55,     3005.16,        0.00,        0.00
12/18/2014,  23:00:00,     2934.90,     2962.10,        0.00,        0.00
12/19/2014,  00:00:00,     2905.22,     2916.67,        0.00,        0.00
12/19/2014,  01:00:00,     2896.94,     2908.84,        0.00,        0.00
12/19/2014,  02:00:00,     2882.72,     2897.14,        0.00,        0.00
12/19/2014,  03:00:00,       98.65,      578.09,        0.00,        0.00
12/19/2014,  04:00:00,        0.00,        0.00,        0.00,        0.00
12/19/2014,  05:00:00,        0.00,        2.57,        0.00,        0.00
12/19/2014,  06:00:00,       10.99,       18.96,        0.00,        0.00
