Terrace Gardens #1 - 195 Steuben Street
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
12/09/2014,  00:00:00,        0.00,        0.00,        0.00,        0.00
12/09/2014,  01:00:00,        0.00,        0.00,        0.00,        0.00
12/09/2014,  02:00:00,        0.00,        0.00,        0.00,        0.00
12/09/2014,  03:00:00,        0.00,        0.00,        0.00,        0.00
12/09/2014,  04:00:00,        0.00,        0.00,        0.00,        0.00
12/09/2014,  05:00:00,        0.00,        0.00,        0.00,        0.00
12/09/2014,  06:00:00,        0.00,        0.00,        0.00,        0.00
12/09/2014,  07:00:00,        0.00,        0.00,        0.00,        0.00
12/09/2014,  08:00:00,       24.26,       50.55,        0.00,        0.00
12/09/2014,  09:00:00,       49.87,       50.55,        0.00,        0.00
12/09/2014,  10:00:00,       50.28,       50.96,        0.00,        0.00
12/09/2014,  11:00:00,        0.84,       50.96,        0.00,        0.00
12/09/2014,  13:00:00,       11.59,       49.65,        0.00,        0.00
12/09/2014,  14:00:00,       50.13,       51.05,        0.00,        0.00
12/09/2014,  15:00:00,       49.90,       50.26,        0.00,        0.00
12/09/2014,  16:00:00,       50.18,       50.46,        0.00,        0.00
12/09/2014,  17:00:00,       49.82,       50.26,        0.00,        0.00
12/09/2014,  18:00:00,       50.14,       50.86,        0.00,        0.00
12/09/2014,  19:00:00,       49.16,       50.56,        0.00,        0.00
12/09/2014,  20:00:00,       49.39,       49.83,        0.00,        0.00
12/09/2014,  21:00:00,       49.35,       49.66,        0.00,        0.00
12/09/2014,  22:00:00,       49.38,       50.32,        0.00,        0.00
12/09/2014,  23:00:00,       49.51,       49.90,        0.00,        0.00
12/10/2014,  00:00:00,       49.21,       49.63,        0.00,        0.00
12/10/2014,  01:00:00,       49.38,       49.92,        0.00,        0.00
12/10/2014,  02:00:00,       49.93,       50.13,        0.00,        0.00
12/10/2014,  03:00:00,       49.23,       50.02,        0.00,        0.00
12/10/2014,  04:00:00,       49.44,       50.03,        0.00,        0.00
12/10/2014,  05:00:00,       48.35,       50.03,        0.00,        0.00
12/10/2014,  06:00:00,       49.21,       49.86,        0.00,        0.00
12/10/2014,  07:00:00,       49.29,       50.53,        0.00,        0.00
12/10/2014,  08:00:00,       49.61,       50.50,        0.00,        0.00
12/10/2014,  09:00:00,       49.72,       50.63,        0.00,        0.00
12/10/2014,  10:00:00,       49.76,       50.64,        0.00,        0.00
12/10/2014,  11:00:00,       49.63,       50.24,        0.00,        0.00
12/10/2014,  12:00:00,       49.77,       50.33,        0.00,        0.00
12/10/2014,  13:00:00,       49.23,       49.93,        0.00,        0.00
12/10/2014,  14:00:00,        0.32,       49.54,        0.00,        0.00
12/10/2014,  15:00:00,        0.00,        0.00,        0.00,        0.00
12/10/2014,  16:00:00,       23.65,       49.36,        0.00,        0.00
