The Beresford
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
08/19/2016,  00:00:00,      136.14,      231.27,        3.00,        3.00
08/19/2016,  01:00:00,      176.56,      229.70,        3.00,        3.00
08/19/2016,  02:00:00,      183.26,      238.03,        3.00,        3.00
08/19/2016,  03:00:00,      174.03,      232.49,        3.00,        3.00
08/19/2016,  04:00:00,      172.24,      224.76,        3.00,        3.00
08/19/2016,  05:00:00,      169.53,      223.07,        3.00,        3.00
08/19/2016,  06:00:00,      177.40,      206.71,        3.00,        3.00
08/19/2016,  07:00:00,      188.47,      233.11,        3.00,        3.00
08/19/2016,  08:00:00,      202.63,      229.63,        3.00,        3.00
08/19/2016,  09:00:00,      227.54,      233.12,        3.00,        3.00
08/19/2016,  10:00:00,      229.65,      229.65,        3.00,        3.00
08/19/2016,  11:00:00,      229.65,      229.65,        3.00,        3.00
08/19/2016,  12:00:00,      229.08,      229.37,        3.00,        3.00
08/19/2016,  13:00:00,      225.92,      229.04,        3.00,        3.00
08/19/2016,  14:00:00,      207.94,      232.09,        3.00,        3.00
08/19/2016,  15:00:00,      205.03,      233.12,        3.00,        3.00
08/19/2016,  16:00:00,      203.02,      228.72,        3.00,        3.00
08/19/2016,  17:00:00,      208.32,      231.78,        3.00,        3.00
08/19/2016,  18:00:00,      201.27,      228.58,        3.00,        3.00
08/19/2016,  19:00:00,      204.94,      233.01,        3.00,        3.00
08/19/2016,  20:00:00,      205.20,      233.62,        3.00,        3.00
08/19/2016,  21:00:00,      206.03,      232.60,        3.00,        3.00
08/19/2016,  22:00:00,      214.04,      229.09,        3.00,        3.00
08/19/2016,  23:00:00,      202.79,      233.29,        3.00,        3.00
08/20/2016,  00:00:00,      195.15,      228.39,        3.00,        3.00
08/20/2016,  01:00:00,      205.36,      233.93,        3.00,        3.00
08/20/2016,  02:00:00,      202.22,      221.66,        3.00,        3.00
08/20/2016,  03:00:00,      192.35,      229.55,        3.00,        3.00
08/20/2016,  04:00:00,      192.95,      233.11,        3.00,        3.00
08/20/2016,  05:00:00,      204.71,      228.65,        3.00,        3.00
08/20/2016,  06:00:00,      205.03,      232.79,        3.00,        3.00
08/20/2016,  07:00:00,      205.04,      231.50,        3.00,        3.00
08/20/2016,  08:00:00,      204.64,      232.43,        3.00,        3.00
08/20/2016,  09:00:00,      204.15,      227.10,        3.00,        3.00
08/20/2016,  10:00:00,      230.36,      232.31,        3.00,        3.00
08/20/2016,  11:00:00,      204.75,      232.80,        3.00,        3.00
08/20/2016,  12:00:00,      213.78,      231.59,        3.00,        3.00
08/20/2016,  13:00:00,      200.29,      233.29,        3.00,        3.00
08/20/2016,  14:00:00,      200.51,      229.33,        3.00,        3.00
08/20/2016,  15:00:00,      210.50,      234.05,        3.00,        3.00
