The Petersfield
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
12/03/2016,  00:00:00,        0.00,        0.00,        0.00,        0.00
12/03/2016,  01:00:00,        0.00,        0.00,        0.00,        0.00
12/03/2016,  02:00:00,        0.00,        0.00,        0.00,        0.00
12/03/2016,  03:00:00,        0.00,        0.00,        0.00,        0.00
12/03/2016,  04:00:00,        0.00,        0.00,        0.00,        0.00
12/03/2016,  05:00:00,        0.00,        0.00,        0.00,        0.00
12/03/2016,  06:00:00,        0.00,        0.00,        0.00,        0.00
12/03/2016,  07:00:00,        0.00,        0.00,        0.00,        0.00
12/03/2016,  08:00:00,        0.00,        0.00,        0.00,        0.00
12/03/2016,  09:00:00,       21.88,       67.99,        0.00,        0.00
12/03/2016,  10:00:00,       13.15,       65.08,        0.00,        0.00
12/03/2016,  11:00:00,        4.01,       48.04,        0.00,        0.00
12/03/2016,  12:00:00,        4.03,       48.52,        0.00,        0.00
12/03/2016,  13:00:00,        2.93,       45.38,        0.00,        0.00
12/03/2016,  14:00:00,        1.53,       42.97,        0.00,        0.00
12/03/2016,  15:00:00,        2.69,       48.08,        0.00,        0.00
12/03/2016,  16:00:00,        2.92,       45.16,        0.00,        0.00
12/03/2016,  17:00:00,        2.04,       45.37,        0.00,        0.00
12/03/2016,  18:00:00,        0.45,       44.15,        0.00,        0.00
12/03/2016,  19:00:00,        6.19,       54.11,        0.00,        0.00
12/03/2016,  20:00:00,        2.27,       43.98,        0.00,        0.00
12/03/2016,  21:00:00,        0.84,       45.25,        0.00,        0.00
12/03/2016,  22:00:00,        3.02,       53.08,        0.00,        0.00
12/03/2016,  23:00:00,        4.45,       42.63,        0.00,        0.00
12/04/2016,  00:00:00,        1.17,       43.87,        0.00,        0.00
12/04/2016,  01:00:00,        5.96,       53.03,        0.00,        0.00
12/04/2016,  02:00:00,        1.49,       46.56,        0.00,        0.00
12/04/2016,  03:00:00,        5.50,       46.45,        0.00,        0.00
12/04/2016,  04:00:00,        0.88,       46.54,        0.00,        0.00
12/04/2016,  05:00:00,        0.00,       46.47,        0.00,        0.00
12/04/2016,  06:00:00,        6.57,       52.90,        0.00,        0.00
12/04/2016,  07:00:00,        2.29,       46.23,        0.00,        0.00
12/04/2016,  08:00:00,        0.17,       45.25,        0.00,        0.00
12/04/2016,  09:00:00,        6.72,       52.47,        0.00,        0.00
12/04/2016,  10:00:00,        3.08,       45.15,        0.00,        0.00
12/04/2016,  11:00:00,        1.55,       46.47,        0.00,        0.00
12/04/2016,  12:00:00,        0.50,       43.80,        0.00,        0.00
12/04/2016,  13:00:00,        7.64,       51.80,        0.00,        0.00
12/04/2016,  14:00:00,        0.37,       47.11,        0.00,        0.00
12/04/2016,  15:00:00,        0.00,        0.00,        0.00,        0.00
