QLIC
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/15/2016,  00:00:00,      181.50,      229.54,        3.00,        3.00
04/15/2016,  01:00:00,      177.31,      204.93,        3.00,        3.00
04/15/2016,  02:00:00,      176.69,      205.98,        3.00,        3.00
04/15/2016,  03:00:00,      178.41,      214.52,        3.00,        3.00
04/15/2016,  04:00:00,      173.90,      204.31,        3.00,        3.00
04/15/2016,  05:00:00,      159.87,      202.93,        3.00,        3.00
04/15/2016,  06:00:00,      181.41,      216.40,        3.00,        3.00
04/15/2016,  07:00:00,      184.63,      203.77,        3.00,        3.00
04/15/2016,  08:00:00,      186.43,      225.78,        3.00,        3.00
04/15/2016,  09:00:00,      185.75,      220.57,        3.00,        3.00
04/15/2016,  10:00:00,      185.88,      228.73,        3.00,        3.00
04/15/2016,  11:00:00,      184.50,      238.17,        3.00,        3.00
04/15/2016,  12:00:00,      185.72,      233.71,        3.00,        3.00
04/15/2016,  13:00:00,      185.03,      223.68,        3.00,        3.00
04/15/2016,  14:00:00,      184.31,      225.63,        3.00,        3.00
04/15/2016,  15:00:00,      185.16,      225.79,        3.00,        3.00
04/15/2016,  16:00:00,      187.50,      222.62,        3.00,        3.00
04/15/2016,  17:00:00,      188.41,      214.43,        3.00,        3.00
04/15/2016,  18:00:00,      185.59,      223.15,        3.00,        3.00
04/15/2016,  19:00:00,      182.15,      209.94,        3.00,        3.00
04/15/2016,  20:00:00,      179.72,      200.74,        3.00,        3.00
04/15/2016,  21:00:00,      180.94,      213.28,        3.00,        3.00
04/15/2016,  22:00:00,      177.25,      198.28,        3.00,        3.00
04/15/2016,  23:00:00,      173.75,      214.19,        3.00,        3.00
04/16/2016,  00:00:00,      171.72,      198.77,        3.00,        3.00
04/16/2016,  01:00:00,      174.31,      196.98,        3.00,        3.00
04/16/2016,  02:00:00,      171.82,      192.42,        3.00,        3.00
04/16/2016,  03:00:00,      172.15,      198.44,        3.00,        3.00
04/16/2016,  04:00:00,      174.66,      195.06,        3.00,        3.00
04/16/2016,  05:00:00,      178.68,      202.82,        3.00,        3.00
04/16/2016,  06:00:00,      177.95,      200.85,        3.00,        3.00
04/16/2016,  07:00:00,      180.05,      209.91,        3.00,        3.00
04/16/2016,  08:00:00,      181.19,      203.02,        3.00,        3.00
04/16/2016,  09:00:00,      183.38,      231.78,        3.00,        3.00
04/16/2016,  10:00:00,      183.37,      226.74,        3.00,        3.00
04/16/2016,  11:00:00,      183.53,      217.20,        3.00,        3.00
04/16/2016,  12:00:00,      183.23,      213.81,        3.00,        3.00
04/16/2016,  13:00:00,      182.81,      221.96,        3.00,        3.00
04/16/2016,  14:00:00,      180.81,      203.00,        3.00,        3.00
04/16/2016,  15:00:00,      184.56,      234.94,        3.00,        3.00
