The Strand
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
08/18/2015,  10:00:00,        9.17,       63.79,        0.00,        0.00
08/18/2015,  11:00:00,       60.20,       68.66,        0.00,        0.00
08/18/2015,  12:00:00,       68.04,       73.59,        0.00,        0.00
08/18/2015,  13:00:00,       43.85,       73.22,        0.00,        0.00
08/18/2015,  14:00:00,       63.40,       73.13,        0.00,        0.00
08/18/2015,  15:00:00,       71.73,       73.64,        0.00,        0.00
08/18/2015,  16:00:00,       68.21,       73.24,        0.00,        0.00
08/18/2015,  17:00:00,       47.84,       73.40,        0.00,        0.00
08/18/2015,  18:00:00,       72.17,       74.21,        0.00,        0.00
08/18/2015,  19:00:00,       70.28,       73.45,        0.00,        0.00
08/18/2015,  20:00:00,       70.24,       73.87,        0.00,        0.00
08/18/2015,  21:00:00,       58.72,       73.52,        0.00,        0.00
08/18/2015,  22:00:00,       67.22,       73.55,        0.00,        0.00
08/18/2015,  23:00:00,       59.83,       71.58,        0.00,        0.00
08/19/2015,  00:00:00,        9.30,       57.26,        0.00,        0.00
08/19/2015,  01:00:00,       37.91,       50.56,        0.00,        0.00
08/19/2015,  02:00:00,       51.58,       55.06,        0.00,        0.00
08/19/2015,  03:00:00,       58.80,       72.66,        0.00,        0.00
08/19/2015,  04:00:00,       56.05,       69.86,        0.00,        0.00
08/19/2015,  05:00:00,       69.03,       73.33,        0.00,        0.00
08/19/2015,  06:00:00,       60.95,       73.43,        0.00,        0.00
08/19/2015,  07:00:00,       67.94,       73.30,        0.00,        0.00
08/19/2015,  08:00:00,       66.50,       73.55,        0.00,        0.00
08/19/2015,  09:00:00,        8.46,       66.92,        0.00,        0.00
08/19/2015,  10:00:00,       67.30,       73.28,        0.00,        0.00
08/19/2015,  11:00:00,       72.08,       73.43,        0.00,        0.00
08/19/2015,  12:00:00,       70.76,       73.21,        0.00,        0.00
08/19/2015,  13:00:00,       66.33,       73.70,        0.00,        0.00
08/19/2015,  14:00:00,       64.54,       73.70,        0.00,        0.00
08/19/2015,  15:00:00,       61.12,       71.52,        0.00,        0.00
08/19/2015,  16:00:00,       49.09,       73.51,        0.00,        0.00
08/19/2015,  17:00:00,       68.74,       73.54,        0.00,        0.00
08/19/2015,  18:00:00,       63.52,       73.08,        0.00,        0.00
08/19/2015,  19:00:00,       64.38,       72.79,        0.00,        0.00
08/19/2015,  20:00:00,       63.82,       72.98,        0.00,        0.00
08/19/2015,  21:00:00,       58.41,       72.82,        0.00,        0.00
08/19/2015,  22:00:00,       21.72,       56.24,        0.00,        0.00
08/19/2015,  23:00:00,       48.55,       54.55,        0.00,        0.00
08/20/2015,  00:00:00,       32.99,       63.72,        0.00,        0.00
08/20/2015,  01:00:00,       20.18,       51.08,        0.00,        0.00
