The Westmont
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
10/29/2016,  00:00:00,       47.66,      100.23,        3.00,        3.00
10/29/2016,  01:00:00,       44.78,      102.63,        3.00,        3.00
10/29/2016,  02:00:00,       46.73,       91.79,        3.00,        3.00
10/29/2016,  03:00:00,       45.66,       96.27,        3.00,        3.00
10/29/2016,  04:00:00,       45.01,       89.35,        3.00,        3.00
10/29/2016,  05:00:00,       46.77,      101.46,        3.00,        3.00
10/29/2016,  06:00:00,       55.18,       94.65,        3.00,        3.00
10/29/2016,  07:00:00,       60.61,      103.94,        3.00,        3.00
10/29/2016,  08:00:00,       64.80,      100.68,        3.00,        3.00
10/29/2016,  09:00:00,       63.38,       93.35,        3.00,        3.00
10/29/2016,  10:00:00,       51.24,       89.63,        3.00,        3.00
10/29/2016,  11:00:00,       51.12,       94.65,        3.00,        3.00
10/29/2016,  12:00:00,       58.70,       84.44,        3.00,        3.00
10/29/2016,  13:00:00,       46.84,       97.03,        3.00,        3.00
10/29/2016,  14:00:00,       44.18,       95.04,        3.00,        3.00
10/29/2016,  15:00:00,       47.70,       95.00,        3.00,        3.00
10/29/2016,  16:00:00,       49.31,       96.09,        3.00,        3.00
10/29/2016,  17:00:00,       55.33,       89.91,        3.00,        3.00
10/29/2016,  18:00:00,       47.76,       90.53,        3.00,        3.00
10/29/2016,  19:00:00,       51.70,       88.11,        3.00,        3.00
10/29/2016,  20:00:00,       58.00,       82.34,        3.00,        3.00
10/29/2016,  21:00:00,       47.07,       85.17,        3.00,        3.00
10/29/2016,  22:00:00,       44.07,       94.39,        3.00,        3.00
10/29/2016,  23:00:00,       40.92,       91.19,        3.00,        3.00
10/30/2016,  00:00:00,       40.63,       84.76,        3.00,        3.00
10/30/2016,  01:00:00,       37.49,       91.15,        3.00,        3.00
10/30/2016,  02:00:00,       36.26,       86.15,        3.00,        3.00
10/30/2016,  03:00:00,       35.83,       90.77,        3.00,        3.00
10/30/2016,  04:00:00,       36.47,       80.37,        3.00,        3.00
10/30/2016,  05:00:00,       32.43,       83.38,        3.00,        3.00
10/30/2016,  06:00:00,       33.50,       45.55,        3.00,        3.00
10/30/2016,  07:00:00,       35.32,       42.82,        3.00,        3.00
10/30/2016,  08:00:00,       35.09,       46.08,        3.00,        3.00
10/30/2016,  09:00:00,       36.73,       49.30,        3.00,        3.00
10/30/2016,  10:00:00,       37.25,       49.73,        3.00,        3.00
10/30/2016,  11:00:00,       35.99,       45.62,        3.00,        3.00
10/30/2016,  12:00:00,       35.41,       48.59,        3.00,        3.00
10/30/2016,  13:00:00,       36.57,       47.63,        3.00,        3.00
10/30/2016,  14:00:00,       35.12,       42.71,        3.00,        3.00
10/30/2016,  15:00:00,       36.65,       49.25,        3.00,        3.00
