Times Square Apartments
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
03/14/2017,  08:00:00,      312.47,      172.96,        1.00,        3.00
03/14/2017,  09:00:00,      166.05,      172.87,        3.00,        3.00
03/14/2017,  10:00:00,      165.59,      174.99,        3.00,        3.00
03/14/2017,  11:00:00,      160.66,      173.33,        3.00,        3.00
03/14/2017,  12:00:00,      170.93,      178.68,        3.00,        3.00
03/14/2017,  13:00:00,      171.90,      177.11,        3.00,        3.00
03/14/2017,  14:00:00,      170.58,      179.00,        3.00,        3.00
03/14/2017,  15:00:00,      172.82,      181.41,        3.00,        3.00
03/14/2017,  16:00:00,      175.24,      181.81,        3.00,        3.00
03/14/2017,  17:00:00,      176.79,      189.58,        3.00,        3.00
03/14/2017,  18:00:00,      177.97,      184.02,        3.00,        3.00
03/14/2017,  19:00:00,      175.42,      180.77,        3.00,        3.00
03/14/2017,  20:00:00,      170.85,      180.55,        3.00,        3.00
03/14/2017,  21:00:00,      164.76,      171.79,        3.00,        3.00
03/14/2017,  22:00:00,      165.79,      172.65,        3.00,        3.00
03/14/2017,  23:00:00,      165.13,      171.26,        3.00,        3.00
03/15/2017,  00:00:00,      163.23,      170.15,        3.00,        3.00
03/15/2017,  01:00:00,      164.64,      170.95,        3.00,        3.00
03/15/2017,  02:00:00,      162.30,      168.42,        3.00,        3.00
03/15/2017,  03:00:00,      160.36,      169.38,        3.00,        3.00
03/15/2017,  04:00:00,      157.52,      166.56,        3.00,        3.00
03/15/2017,  05:00:00,      162.97,      170.25,        3.00,        3.00
03/15/2017,  06:00:00,      168.82,      175.69,        3.00,        3.00
03/15/2017,  07:00:00,      169.40,      174.99,        3.00,        3.00
03/15/2017,  08:00:00,      169.64,      177.74,        3.00,        3.00
03/15/2017,  09:00:00,      165.74,      175.47,        3.00,        3.00
03/15/2017,  10:00:00,      165.62,      172.20,        3.00,        3.00
03/15/2017,  11:00:00,      164.84,      171.87,        3.00,        3.00
03/15/2017,  12:00:00,      169.82,      176.14,        3.00,        3.00
03/15/2017,  13:00:00,      167.75,      176.85,        3.00,        3.00
03/15/2017,  14:00:00,      163.93,      171.71,        3.00,        3.00
03/15/2017,  15:00:00,      163.33,      172.88,        3.00,        3.00
03/15/2017,  16:00:00,      168.40,      184.88,        3.00,        3.00
03/15/2017,  17:00:00,      172.41,      181.60,        3.00,        3.00
03/15/2017,  18:00:00,      177.62,      188.70,        3.00,        3.00
03/15/2017,  19:00:00,      179.87,      184.77,        3.00,        3.00
03/15/2017,  20:00:00,      182.80,      188.68,        3.00,        3.00
03/15/2017,  21:00:00,      186.11,      197.22,        3.00,        3.00
03/15/2017,  22:00:00,      177.09,      186.13,        3.00,        3.00
03/15/2017,  23:00:00,      171.82,      178.17,        3.00,        3.00
