Toren Condo
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
02/11/2010,  00:00:00,      251.90,      254.40,        3.00,        3.00
02/11/2010,  01:00:00,      250.90,      251.60,        3.00,        3.00
02/11/2010,  02:00:00,      250.20,      251.20,        3.00,        3.00
02/11/2010,  03:00:00,      249.10,      252.00,        3.00,        3.00
02/11/2010,  04:00:00,      243.80,      308.00,        3.00,        3.00
02/11/2010,  05:00:00,      250.00,      252.40,        3.00,        3.00
02/11/2010,  06:00:00,      255.40,      278.80,        3.00,        3.00
02/11/2010,  07:00:00,      264.40,      323.20,        3.00,        3.00
02/11/2010,  08:00:00,      268.60,      284.00,        3.00,        3.00
02/11/2010,  09:00:00,      269.00,      356.80,        3.00,        3.00
02/11/2010,  10:00:00,      270.20,      278.00,        3.00,        3.00
02/11/2010,  11:00:00,      268.40,      280.80,        3.00,        3.00
02/11/2010,  12:00:00,      237.30,      340.00,        3.00,        3.00
02/11/2010,  13:00:00,      252.70,      284.40,        3.00,        3.00
02/11/2010,  14:00:00,      246.60,      255.60,        3.00,        3.00
02/11/2010,  15:00:00,      248.10,      269.60,        3.00,        3.00
02/11/2010,  16:00:00,      241.20,      265.60,        3.00,        3.00
02/11/2010,  17:00:00,      234.90,      246.80,        3.00,        3.00
02/11/2010,  18:00:00,      231.10,      246.80,        3.00,        3.00
02/11/2010,  19:00:00,      234.40,      254.00,        3.00,        3.00
02/11/2010,  20:00:00,      231.00,      242.40,        3.00,        3.00
02/11/2010,  21:00:00,      231.30,      240.80,        3.00,        3.00
02/11/2010,  22:00:00,      228.80,      314.80,        3.00,        3.00
02/11/2010,  23:00:00,      223.30,      226.80,        3.00,        3.00
03/01/2010,  00:00:00,      252.95,      367.20,        3.00,        3.00
03/01/2010,  01:00:00,      246.75,      322.90,        3.00,        3.00
03/01/2010,  02:00:00,      240.88,      292.70,        3.00,        3.00
03/01/2010,  03:00:00,      239.30,      300.70,        3.00,        3.00
03/01/2010,  04:00:00,      242.93,      288.50,        3.00,        3.00
03/01/2010,  05:00:00,      254.33,      307.70,        3.00,        3.00
03/01/2010,  06:00:00,      251.95,      266.00,        3.00,        3.00
03/01/2010,  07:00:00,      259.07,      288.20,        3.00,        3.00
03/01/2010,  08:00:00,      271.75,      311.20,        3.00,        3.00
03/01/2010,  09:00:00,      276.08,      334.40,        3.00,        3.00
03/01/2010,  10:00:00,      271.48,      335.70,        3.00,        3.00
03/01/2010,  11:00:00,      263.10,      318.00,        3.00,        3.00
03/01/2010,  12:00:00,      275.55,      320.50,        3.00,        3.00
03/01/2010,  13:00:00,      273.57,      324.50,        3.00,        3.00
03/01/2010,  14:00:00,      258.55,      298.90,        3.00,        3.00
03/01/2010,  15:00:00,      248.30,      292.90,        3.00,        3.00
