Tudor Gardens
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
07/01/2005,  00:00:00,      100.00,      100.00,        0.00,        0.00
07/01/2005,  01:00:00,      100.00,      100.00,        0.00,        0.00
07/01/2005,  02:00:00,      100.00,      100.00,        0.00,        0.00
07/01/2005,  03:00:00,      100.00,      100.00,        0.00,        0.00
07/01/2005,  04:00:00,      100.00,      100.00,        0.00,        0.00
07/01/2005,  05:00:00,      100.00,      100.00,        0.00,        0.00
07/01/2005,  06:00:00,      100.00,      100.00,        0.00,        0.00
07/01/2005,  07:00:00,      136.80,      136.80,        0.00,        0.00
07/01/2005,  08:00:00,      150.10,      150.10,        0.00,        0.00
07/01/2005,  09:00:00,      150.10,      150.10,        0.00,        0.00
07/01/2005,  10:00:00,      150.10,      150.10,        0.00,        0.00
07/01/2005,  11:00:00,      150.00,      150.00,        0.00,        0.00
07/01/2005,  12:00:00,      150.10,      150.10,        0.00,        0.00
07/01/2005,  13:00:00,      150.00,      150.00,        0.00,        0.00
07/01/2005,  14:00:00,      150.10,      150.10,        0.00,        0.00
07/01/2005,  15:00:00,      150.00,      150.00,        0.00,        0.00
07/01/2005,  16:00:00,      150.10,      150.10,        0.00,        0.00
07/01/2005,  17:00:00,      150.00,      150.00,        0.00,        0.00
07/01/2005,  18:00:00,      150.10,      150.10,        0.00,        0.00
07/01/2005,  19:00:00,      150.00,      150.00,        0.00,        0.00
07/01/2005,  20:00:00,      113.10,      113.10,        0.00,        0.00
07/01/2005,  21:00:00,      100.00,      100.00,        0.00,        0.00
07/01/2005,  22:00:00,      100.00,      100.00,        0.00,        0.00
07/01/2005,  23:00:00,      100.00,      100.00,        0.00,        0.00
07/02/2005,  00:00:00,      100.00,      100.00,        0.00,        0.00
07/02/2005,  01:00:00,      100.00,      100.00,        0.00,        0.00
07/02/2005,  02:00:00,      100.00,      100.00,        0.00,        0.00
07/02/2005,  03:00:00,      100.00,      100.00,        0.00,        0.00
07/02/2005,  04:00:00,      100.00,      100.00,        0.00,        0.00
07/02/2005,  05:00:00,      100.00,      100.00,        0.00,        0.00
07/02/2005,  06:00:00,      100.00,      100.00,        0.00,        0.00
07/02/2005,  07:00:00,      136.80,      136.80,        0.00,        0.00
07/02/2005,  08:00:00,      150.10,      150.10,        0.00,        0.00
07/02/2005,  09:00:00,      150.00,      150.00,        0.00,        0.00
07/02/2005,  10:00:00,      150.10,      150.10,        0.00,        0.00
07/02/2005,  11:00:00,      150.00,      150.00,        0.00,        0.00
07/02/2005,  12:00:00,      150.10,      150.10,        0.00,        0.00
07/02/2005,  13:00:00,      150.10,      150.10,        0.00,        0.00
07/02/2005,  14:00:00,      150.10,      150.10,        0.00,        0.00
07/02/2005,  15:00:00,      150.00,      150.00,        0.00,        0.00
