Urban Horizons
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
10/31/2013,  07:00:00,        6.00,       24.00,        0.00,        0.00
10/31/2013,  08:00:00,       35.43,       52.19,        3.00,        3.00
10/31/2013,  09:00:00,       49.02,       67.12,        3.00,        3.00
10/31/2013,  10:00:00,       49.52,       55.33,        3.00,        3.00
10/31/2013,  11:00:00,       49.50,       55.72,        3.00,        3.00
10/31/2013,  12:00:00,       51.60,       55.62,        3.00,        3.00
10/31/2013,  13:00:00,       52.89,       57.19,        3.00,        3.00
10/31/2013,  14:00:00,       50.18,       52.94,        3.00,        3.00
10/31/2013,  15:00:00,       53.05,       57.27,        3.00,        3.00
10/31/2013,  16:00:00,       48.35,       51.43,        3.00,        3.00
10/31/2013,  17:00:00,       51.16,       56.56,        3.00,        3.00
10/31/2013,  18:00:00,       51.70,       54.99,        3.00,        3.00
10/31/2013,  19:00:00,       48.13,       51.25,        3.00,        3.00
10/31/2013,  20:00:00,       48.66,       53.50,        3.00,        3.00
10/31/2013,  21:00:00,       46.67,       50.30,        3.00,        3.00
10/31/2013,  22:00:00,       44.58,       49.06,        3.00,        3.00
10/31/2013,  23:00:00,       41.35,       45.03,        3.00,        3.00
11/01/2013,  00:00:00,       39.73,       42.84,        3.00,        3.00
11/01/2013,  01:00:00,       38.29,       41.22,        3.00,        3.00
11/01/2013,  02:00:00,       36.09,       39.91,        3.00,        3.00
11/01/2013,  03:00:00,       38.03,       40.38,        3.00,        3.00
11/01/2013,  04:00:00,       38.90,       42.00,        3.00,        3.00
11/01/2013,  05:00:00,       42.40,       45.96,        3.00,        3.00
11/01/2013,  06:00:00,       50.17,       54.33,        3.00,        3.00
11/01/2013,  07:00:00,       50.06,       52.45,        3.00,        3.00
11/01/2013,  08:00:00,       48.50,       52.12,        3.00,        3.00
11/01/2013,  09:00:00,       48.36,       51.91,        3.00,        3.00
11/01/2013,  10:00:00,       47.86,       53.12,        3.00,        3.00
11/01/2013,  11:00:00,       49.94,       54.09,        3.00,        3.00
11/01/2013,  12:00:00,       50.29,       56.55,        3.00,        3.00
11/01/2013,  13:00:00,       51.00,       55.78,        3.00,        3.00
11/01/2013,  14:00:00,       52.04,       56.34,        3.00,        3.00
11/01/2013,  15:00:00,       49.24,       53.00,        3.00,        3.00
11/01/2013,  16:00:00,       46.56,       51.62,        3.00,        3.00
11/01/2013,  17:00:00,       51.07,       56.85,        3.00,        3.00
11/01/2013,  18:00:00,       48.41,       52.34,        3.00,        3.00
11/01/2013,  19:00:00,       48.66,       53.56,        3.00,        3.00
11/01/2013,  20:00:00,       47.91,       50.53,        3.00,        3.00
11/01/2013,  21:00:00,       45.14,       48.43,        3.00,        3.00
11/01/2013,  22:00:00,       44.82,       48.65,        3.00,        3.00
