Van Blarcom Closures 
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/14/2017,  00:00:00,      642.98,      656.20,        3.00,        3.00
04/14/2017,  01:00:00,      505.30,      598.50,        3.00,        3.00
04/14/2017,  02:00:00,      455.60,      479.30,        3.00,        3.00
04/14/2017,  03:00:00,      558.33,      635.80,        3.00,        3.00
04/14/2017,  04:00:00,      629.50,      681.40,        3.00,        3.00
04/14/2017,  05:00:00,      573.05,      624.40,        3.00,        3.00
04/14/2017,  06:00:00,      558.62,      581.50,        3.00,        3.00
04/14/2017,  07:00:00,      135.43,      541.70,        3.00,        3.00
04/15/2017,  00:00:00,      712.17,      748.70,        3.00,        3.00
04/15/2017,  01:00:00,      744.92,      778.50,        3.00,        3.00
04/15/2017,  02:00:00,      768.25,      797.20,        3.00,        3.00
04/15/2017,  03:00:00,      776.05,      789.20,        3.00,        3.00
04/15/2017,  04:00:00,      634.15,      646.30,        3.00,        3.00
04/15/2017,  05:00:00,      618.30,      641.80,        3.00,        3.00
04/15/2017,  06:00:00,      605.77,      617.40,        3.00,        3.00
04/15/2017,  07:00:00,      152.57,      610.30,        3.00,        3.00
04/16/2017,  00:00:00,      734.62,      755.20,        3.00,        3.00
04/16/2017,  01:00:00,      739.83,      753.80,        3.00,        3.00
04/16/2017,  02:00:00,      743.27,      762.00,        3.00,        3.00
04/16/2017,  03:00:00,      722.20,      752.50,        3.00,        3.00
04/16/2017,  04:00:00,      744.75,      747.30,        3.00,        3.00
04/16/2017,  05:00:00,      714.42,      757.20,        3.00,        3.00
04/16/2017,  06:00:00,      722.12,      736.20,        3.00,        3.00
04/16/2017,  07:00:00,      185.25,      741.00,        3.00,        3.00
04/17/2017,  00:00:00,      679.50,      717.30,        3.00,        3.00
04/17/2017,  01:00:00,      680.85,      714.50,        3.00,        3.00
04/17/2017,  02:00:00,      678.92,      710.10,        3.00,        3.00
04/17/2017,  03:00:00,      671.05,      689.00,        3.00,        3.00
04/17/2017,  04:00:00,       93.10,      207.00,        1.00,        3.00
04/17/2017,  05:00:00,       87.42,      198.00,        1.00,        3.00
04/17/2017,  06:00:00,      132.22,      259.00,        1.00,        3.00
04/17/2017,  07:00:00,       90.67,      296.00,        1.00,        3.00
04/18/2017,  00:00:00,      577.17,      588.00,        3.00,        3.00
04/18/2017,  01:00:00,      576.17,      591.20,        3.00,        3.00
04/18/2017,  02:00:00,      561.17,      580.50,        3.00,        3.00
04/18/2017,  03:00:00,      560.38,      587.30,        3.00,        3.00
04/18/2017,  04:00:00,      495.52,      525.20,        3.00,        3.00
04/18/2017,  05:00:00,      509.70,      519.50,        3.00,        3.00
04/18/2017,  06:00:00,      486.20,      549.90,        3.00,        3.00
04/18/2017,  07:00:00,      121.33,      485.30,        3.00,        3.00
