Village Mall
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
01/13/2017,  00:00:00,      166.87,      177.95,        3.00,        3.00
01/13/2017,  01:00:00,      165.50,      173.24,        3.00,        3.00
01/13/2017,  02:00:00,      164.98,      174.08,        3.00,        3.00
01/13/2017,  03:00:00,      164.10,      170.27,        3.00,        3.00
01/13/2017,  04:00:00,      176.23,      183.68,        3.00,        3.00
01/13/2017,  05:00:00,      181.54,      193.62,        3.00,        3.00
01/13/2017,  06:00:00,      189.55,      195.97,        3.00,        3.00
01/13/2017,  07:00:00,      189.96,      197.35,        3.00,        3.00
01/13/2017,  08:00:00,      190.92,      197.92,        3.00,        3.00
01/13/2017,  09:00:00,      194.38,      208.29,        3.00,        3.00
01/13/2017,  10:00:00,      198.73,      212.96,        3.00,        3.00
01/13/2017,  11:00:00,      209.57,      222.13,        3.00,        3.00
01/13/2017,  12:00:00,      209.06,      226.05,        3.00,        3.00
01/13/2017,  13:00:00,      201.54,      211.19,        3.00,        3.00
01/13/2017,  14:00:00,      203.83,      212.56,        3.00,        3.00
01/13/2017,  15:00:00,      198.71,      208.37,        3.00,        3.00
01/13/2017,  16:00:00,      205.29,      216.72,        3.00,        3.00
01/13/2017,  17:00:00,      209.65,      225.15,        3.00,        3.00
01/13/2017,  18:00:00,      217.03,      233.50,        3.00,        3.00
01/13/2017,  19:00:00,      210.69,      226.89,        3.00,        3.00
01/13/2017,  20:00:00,      204.62,      219.36,        3.00,        3.00
01/13/2017,  21:00:00,      207.75,      223.42,        3.00,        3.00
01/13/2017,  22:00:00,      195.29,      212.06,        3.00,        3.00
01/13/2017,  23:00:00,      185.35,      201.78,        3.00,        3.00
01/14/2017,  00:00:00,      185.83,      196.64,        3.00,        3.00
01/14/2017,  01:00:00,      187.48,      195.22,        3.00,        3.00
01/14/2017,  02:00:00,      185.41,      195.32,        3.00,        3.00
01/14/2017,  03:00:00,      181.27,      188.00,        3.00,        3.00
01/14/2017,  04:00:00,      195.79,      203.33,        3.00,        3.00
01/14/2017,  05:00:00,      197.02,      206.51,        3.00,        3.00
01/14/2017,  06:00:00,      199.06,      206.79,        3.00,        3.00
01/14/2017,  07:00:00,      198.62,      204.58,        3.00,        3.00
01/14/2017,  08:00:00,      208.49,      217.86,        3.00,        3.00
01/14/2017,  09:00:00,      206.33,      215.36,        3.00,        3.00
01/14/2017,  10:00:00,      214.02,      226.46,        3.00,        3.00
01/14/2017,  11:00:00,      225.74,      235.50,        3.00,        3.00
01/14/2017,  12:00:00,      210.90,      230.10,        3.00,        3.00
01/14/2017,  13:00:00,      206.45,      219.09,        3.00,        3.00
01/14/2017,  14:00:00,      214.42,      227.07,        3.00,        3.00
01/14/2017,  15:00:00,      222.94,      236.27,        3.00,        3.00
