Waldbaum's Supermarket
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
08/02/2002,  14:00:00,        0.00,        0.00,        0.00,        0.00
08/02/2002,  15:00:00,      462.76,        0.00,        3.00,        0.00
08/02/2002,  16:00:00,      457.50,        0.00,        3.00,        0.00
08/02/2002,  17:00:00,      448.87,        0.00,        3.00,        0.00
08/02/2002,  18:00:00,      427.50,        0.00,        3.00,        0.00
08/02/2002,  19:00:00,      400.25,        0.00,        3.00,        0.00
08/02/2002,  20:00:00,      363.25,        0.00,        3.00,        0.00
08/02/2002,  21:00:00,      357.12,        0.00,        3.00,        0.00
08/02/2002,  22:00:00,      341.13,        0.00,        3.00,        0.00
08/02/2002,  23:00:00,      308.87,        0.00,        3.00,        0.00
08/03/2002,  00:00:00,      335.26,        0.00,        3.00,        0.00
08/03/2002,  01:00:00,      338.62,        0.00,        3.00,        0.00
08/03/2002,  02:00:00,      320.75,        0.00,        3.00,        0.00
08/03/2002,  03:00:00,      338.13,        0.00,        3.00,        0.00
08/03/2002,  04:00:00,      317.75,        0.00,        3.00,        0.00
08/03/2002,  05:00:00,      332.87,        0.00,        3.00,        0.00
08/03/2002,  06:00:00,      351.75,        0.00,        3.00,        0.00
08/03/2002,  07:00:00,      367.88,        0.00,        3.00,        0.00
08/03/2002,  08:00:00,      365.12,        0.00,        3.00,        0.00
08/03/2002,  09:00:00,      379.75,        0.00,        3.00,        0.00
08/03/2002,  10:00:00,      401.13,        0.00,        3.00,        0.00
08/03/2002,  11:00:00,      414.49,        0.00,        3.00,        0.00
08/03/2002,  12:00:00,      433.13,        0.00,        3.00,        0.00
08/03/2002,  13:00:00,      430.75,        0.00,        3.00,        0.00
08/03/2002,  14:00:00,      424.12,        0.00,        3.00,        0.00
08/03/2002,  15:00:00,      430.50,        0.00,        3.00,        0.00
08/03/2002,  16:00:00,      421.76,        0.00,        3.00,        0.00
08/03/2002,  17:00:00,      423.24,        0.00,        3.00,        0.00
08/03/2002,  18:00:00,      410.25,        0.00,        3.00,        0.00
08/03/2002,  19:00:00,      402.38,        0.00,        3.00,        0.00
08/03/2002,  20:00:00,      380.62,        0.00,        3.00,        0.00
08/03/2002,  21:00:00,      387.13,        0.00,        3.00,        0.00
08/03/2002,  22:00:00,      356.38,        0.00,        3.00,        0.00
08/03/2002,  23:00:00,      326.49,        0.00,        3.00,        0.00
08/04/2002,  00:00:00,      339.75,        0.00,        3.00,        0.00
08/04/2002,  01:00:00,      336.88,        0.00,        3.00,        0.00
08/04/2002,  02:00:00,      339.50,        0.00,        3.00,        0.00
08/04/2002,  03:00:00,      346.75,        0.00,        3.00,        0.00
08/04/2002,  04:00:00,      335.00,        0.00,        3.00,        0.00
08/04/2002,  05:00:00,      326.38,        0.00,        3.00,        0.00
