West 96th Street Apartments
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/01/2016,  00:00:00,       57.73,       98.09,        0.00,        0.00
04/01/2016,  01:00:00,       56.92,       74.04,        0.00,        0.00
04/01/2016,  02:00:00,       56.96,       74.45,        0.00,        0.00
04/01/2016,  03:00:00,       56.73,       73.42,        0.00,        0.00
04/01/2016,  04:00:00,       55.95,       88.48,        0.00,        0.00
04/01/2016,  05:00:00,       57.73,       96.41,        0.00,        0.00
04/01/2016,  06:00:00,       61.33,      108.69,        0.00,        0.00
04/01/2016,  07:00:00,       63.26,      107.76,        0.00,        0.00
04/01/2016,  08:00:00,       62.73,      105.05,        0.00,        0.00
04/01/2016,  09:00:00,       62.59,       82.19,        0.00,        0.00
04/01/2016,  10:00:00,       61.96,       90.05,        0.00,        0.00
04/01/2016,  11:00:00,       62.15,       77.15,        0.00,        0.00
04/01/2016,  12:00:00,       61.25,       76.95,        0.00,        0.00
04/01/2016,  13:00:00,       61.31,       78.71,        0.00,        0.00
04/01/2016,  14:00:00,       62.30,       81.54,        0.00,        0.00
04/01/2016,  15:00:00,       61.71,       84.96,        0.00,        0.00
04/01/2016,  16:00:00,       64.41,      106.77,        0.00,        0.00
04/01/2016,  17:00:00,       64.24,       83.36,        0.00,        0.00
04/01/2016,  18:00:00,       62.96,       78.47,        0.00,        0.00
04/01/2016,  19:00:00,       60.11,       71.80,        0.00,        0.00
04/01/2016,  20:00:00,       58.44,       81.33,        0.00,        0.00
04/01/2016,  21:00:00,       58.74,       78.15,        0.00,        0.00
04/01/2016,  22:00:00,       57.78,       73.29,        0.00,        0.00
04/01/2016,  23:00:00,       56.30,       79.21,        0.00,        0.00
04/02/2016,  00:00:00,       55.97,       71.16,        0.00,        0.00
04/02/2016,  01:00:00,       55.92,       72.12,        0.00,        0.00
04/02/2016,  02:00:00,       55.64,       78.39,        0.00,        0.00
04/02/2016,  03:00:00,       55.35,       72.46,        0.00,        0.00
04/02/2016,  04:00:00,       54.74,       71.49,        0.00,        0.00
04/02/2016,  05:00:00,       55.76,       71.79,        0.00,        0.00
04/02/2016,  06:00:00,       55.95,       72.08,        0.00,        0.00
04/02/2016,  07:00:00,       64.98,       81.92,        0.00,        0.00
04/02/2016,  08:00:00,       60.81,      100.12,        0.00,        0.00
04/02/2016,  09:00:00,       62.82,       80.27,        0.00,        0.00
04/02/2016,  10:00:00,       62.72,       82.45,        0.00,        0.00
04/02/2016,  11:00:00,       60.26,       81.51,        0.00,        0.00
04/02/2016,  12:00:00,       60.11,       80.48,        0.00,        0.00
04/02/2016,  13:00:00,       62.03,       97.62,        0.00,        0.00
04/02/2016,  14:00:00,       60.28,       75.72,        0.00,        0.00
04/02/2016,  15:00:00,       60.57,       74.55,        0.00,        0.00
