400 Central Park West
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
03/21/2017,  00:00:00,        0.04,        0.46,        3.00,        3.00
03/21/2017,  01:00:00,        0.02,        1.21,        3.00,        3.00
03/21/2017,  02:00:00,        0.00,        1.16,        3.00,        3.00
03/21/2017,  03:00:00,        0.00,        0.68,        3.00,        3.00
03/21/2017,  04:00:00,        0.00,        0.00,        3.00,        3.00
03/21/2017,  05:00:00,        0.00,        0.29,        3.00,        3.00
03/21/2017,  06:00:00,        0.00,        0.00,        3.00,        3.00
03/21/2017,  07:00:00,        0.00,        2.46,        3.00,        3.00
03/21/2017,  08:00:00,        0.50,        3.10,        3.00,        3.00
03/21/2017,  09:00:00,        0.05,        1.23,        3.00,        3.00
03/21/2017,  10:00:00,        0.00,        1.39,        3.00,        3.00
03/21/2017,  11:00:00,        0.00,        2.14,        3.00,        3.00
03/21/2017,  12:00:00,        0.00,        0.00,        3.00,        3.00
03/21/2017,  13:00:00,        0.00,        3.82,        3.00,        3.00
03/21/2017,  14:00:00,       26.17,       54.87,        3.00,        3.00
03/21/2017,  15:00:00,       39.06,       42.47,        3.00,        3.00
03/21/2017,  16:00:00,       45.95,       50.03,        3.00,        3.00
03/21/2017,  17:00:00,       43.37,       47.51,        3.00,        3.00
03/21/2017,  18:00:00,       45.95,       53.50,        3.00,        3.00
03/21/2017,  19:00:00,       46.37,       48.48,        3.00,        3.00
03/21/2017,  20:00:00,       41.20,       49.34,        3.00,        3.00
03/21/2017,  21:00:00,       42.99,       46.23,        3.00,        3.00
03/21/2017,  22:00:00,       40.05,       43.67,        3.00,        3.00
03/21/2017,  23:00:00,       36.86,       44.17,        3.00,        3.00
03/22/2017,  00:00:00,       39.41,       44.56,        3.00,        3.00
03/22/2017,  01:00:00,       24.80,       35.85,        3.00,        3.00
03/22/2017,  02:00:00,       26.25,       41.51,        3.00,        3.00
03/22/2017,  03:00:00,       35.18,       52.21,        3.00,        3.00
03/22/2017,  04:00:00,       24.62,       37.13,        3.00,        3.00
03/22/2017,  05:00:00,       39.87,       45.89,        3.00,        3.00
03/22/2017,  06:00:00,       44.27,       53.09,        3.00,        3.00
03/22/2017,  07:00:00,       50.70,       55.23,        3.00,        3.00
03/22/2017,  08:00:00,       46.27,       50.93,        3.00,        3.00
03/22/2017,  09:00:00,       46.18,       51.80,        3.00,        3.00
03/22/2017,  10:00:00,       46.09,       49.87,        3.00,        3.00
03/22/2017,  11:00:00,       41.08,       44.14,        3.00,        3.00
03/22/2017,  12:00:00,       38.84,       42.21,        3.00,        3.00
03/22/2017,  13:00:00,       34.71,       41.58,        3.00,        3.00
03/22/2017,  14:00:00,       36.06,       42.94,        3.00,        3.00
03/22/2017,  15:00:00,       36.57,       40.24,        3.00,        3.00
