Golub Headquarters Office Building
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
08/08/2010,  23:00:00,      236.30,      242.10,        3.00,        3.00
08/09/2010,  00:00:00,      236.10,      250.20,        3.00,        3.00
08/09/2010,  01:00:00,      232.22,      241.30,        3.00,        3.00
08/09/2010,  02:00:00,      226.68,      235.30,        3.00,        3.00
08/09/2010,  03:00:00,      240.55,      254.80,        3.00,        3.00
08/09/2010,  04:00:00,      284.75,      319.70,        3.00,        3.00
08/09/2010,  05:00:00,      337.12,      393.40,        3.00,        3.00
08/09/2010,  06:00:00,      408.43,      437.30,        3.00,        3.00
08/09/2010,  07:00:00,      472.85,      492.00,        3.00,        3.00
08/09/2010,  08:00:00,      560.92,      588.40,        3.00,        3.00
08/09/2010,  09:00:00,      552.55,      569.50,        3.00,        3.00
08/09/2010,  10:00:00,      583.75,      608.90,        3.00,        3.00
08/09/2010,  11:00:00,      571.62,      605.00,        3.00,        3.00
08/09/2010,  12:00:00,      583.50,      608.00,        3.00,        3.00
08/09/2010,  13:00:00,      553.60,      608.50,        3.00,        3.00
08/09/2010,  14:00:00,      547.12,      559.70,        3.00,        3.00
08/09/2010,  15:00:00,      516.10,      538.30,        3.00,        3.00
08/09/2010,  16:00:00,      478.85,      499.90,        3.00,        3.00
08/09/2010,  17:00:00,      403.70,      454.60,        3.00,        3.00
08/09/2010,  18:00:00,      368.88,      387.50,        3.00,        3.00
08/09/2010,  19:00:00,      326.62,      360.70,        3.00,        3.00
08/09/2010,  20:00:00,      285.35,      304.00,        3.00,        3.00
08/09/2010,  21:00:00,      286.88,      297.80,        3.00,        3.00
08/09/2010,  22:00:00,      288.70,      308.10,        3.00,        3.00
08/09/2010,  23:00:00,      267.75,      284.50,        3.00,        3.00
08/10/2010,  00:00:00,      259.25,      284.10,        3.00,        3.00
08/10/2010,  01:00:00,      255.35,      267.80,        3.00,        3.00
08/10/2010,  02:00:00,      250.43,      265.20,        3.00,        3.00
08/10/2010,  03:00:00,      262.70,      280.30,        3.00,        3.00
08/10/2010,  04:00:00,      282.20,      313.50,        3.00,        3.00
08/10/2010,  05:00:00,      353.32,      385.70,        3.00,        3.00
08/10/2010,  06:00:00,      430.15,      453.60,        3.00,        3.00
08/10/2010,  07:00:00,      490.83,      517.50,        3.00,        3.00
08/10/2010,  08:00:00,      570.03,      597.80,        3.00,        3.00
08/10/2010,  09:00:00,      560.02,      570.00,        3.00,        3.00
08/10/2010,  10:00:00,      576.50,      623.10,        3.00,        3.00
08/10/2010,  11:00:00,      597.70,      608.20,        3.00,        3.00
08/10/2010,  12:00:00,      610.25,      632.80,        3.00,        3.00
08/10/2010,  13:00:00,      608.77,      634.20,        3.00,        3.00
08/10/2010,  14:00:00,      576.42,      603.30,        3.00,        3.00
