New York Hilton
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/25/2013,  00:00:00,      671.58,      678.12,        0.00,        0.00
04/25/2013,  01:00:00,      675.42,      680.25,        0.00,        0.00
04/25/2013,  02:00:00,      678.54,      680.43,        0.00,        0.00
04/25/2013,  03:00:00,      679.06,      681.84,        0.00,        0.00
04/25/2013,  04:00:00,      679.89,      681.45,        0.00,        0.00
04/25/2013,  05:00:00,      679.64,      680.82,        0.00,        0.00
04/25/2013,  06:00:00,      680.62,      680.75,        0.00,        0.00
04/25/2013,  07:00:00,      680.42,      684.59,        0.00,        0.00
04/25/2013,  08:00:00,      763.25,      924.87,        0.00,        0.00
04/25/2013,  09:00:00,      922.57,      924.74,        0.00,        0.00
04/25/2013,  10:00:00,     1058.96,     1202.92,        0.00,        0.00
04/25/2013,  11:00:00,     1067.91,     1174.52,        0.00,        0.00
04/25/2013,  12:00:00,      967.48,      970.08,        0.00,        0.00
04/25/2013,  13:00:00,      955.67,      974.77,        0.00,        0.00
04/25/2013,  14:00:00,      956.70,      968.67,        0.00,        0.00
04/25/2013,  15:00:00,      943.78,      949.47,        0.00,        0.00
04/25/2013,  16:00:00,      926.07,      930.03,        0.00,        0.00
04/25/2013,  17:00:00,      936.35,      950.67,        0.00,        0.00
04/25/2013,  18:00:00,      945.21,      957.87,        0.00,        0.00
04/25/2013,  19:00:00,      976.61,      989.03,        0.00,        0.00
04/25/2013,  20:00:00,      989.08,      993.52,        0.00,        0.00
04/25/2013,  21:00:00,      990.30,      992.01,        0.00,        0.00
04/25/2013,  22:00:00,      990.38,      990.97,        0.00,        0.00
04/25/2013,  23:00:00,      989.63,      991.84,        0.00,        0.00
04/26/2013,  00:00:00,      987.99,      989.87,        0.00,        0.00
04/26/2013,  01:00:00,      985.78,      988.27,        0.00,        0.00
04/26/2013,  02:00:00,      986.58,      989.70,        0.00,        0.00
04/26/2013,  03:00:00,      984.19,      984.75,        0.00,        0.00
04/26/2013,  04:00:00,      980.68,      982.85,        0.00,        0.00
04/26/2013,  05:00:00,      985.33,      989.25,        0.00,        0.00
04/26/2013,  06:00:00,      987.39,      989.30,        0.00,        0.00
04/26/2013,  07:00:00,      983.78,      992.15,        0.00,        0.00
04/26/2013,  08:00:00,     1006.04,     1103.34,        0.00,        0.00
04/27/2013,  00:00:00,     1184.89,     1192.41,        0.00,        0.00
04/27/2013,  01:00:00,     1172.20,     1180.08,        0.00,        0.00
04/27/2013,  02:00:00,     1178.22,     1184.97,        0.00,        0.00
04/27/2013,  03:00:00,     1083.04,     1211.76,        0.00,        0.00
04/27/2013,  04:00:00,      915.86,      921.13,        0.00,        0.00
04/27/2013,  05:00:00,      920.12,      921.31,        0.00,        0.00
04/27/2013,  06:00:00,      919.02,      921.21,        0.00,        0.00
