Hudson Valley CC
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/12/2004,  22:00:00,      910.20,      944.00,        3.00,        3.00
04/12/2004,  23:00:00,      881.18,      933.00,        3.00,        3.00
04/13/2004,  00:00:00,      881.88,      916.00,        3.00,        3.00
04/13/2004,  01:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  02:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  03:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  04:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  05:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  06:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  07:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  08:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  09:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  10:00:00,     1178.17,     1270.00,        3.00,        3.00
04/13/2004,  11:00:00,      932.73,     1249.00,        3.00,        3.00
04/13/2004,  12:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  13:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  14:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  15:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  16:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  17:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  18:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  19:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  20:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  21:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  22:00:00,      876.00,      876.00,        3.00,        3.00
04/13/2004,  23:00:00,      876.00,      876.00,        3.00,        3.00
04/14/2004,  00:00:00,      956.22,     1031.00,        3.00,        3.00
04/14/2004,  01:00:00,     1008.93,     1027.00,        3.00,        3.00
04/14/2004,  02:00:00,      994.77,     1025.00,        3.00,        3.00
04/14/2004,  10:00:00,     2012.93,     2095.00,        3.00,        3.00
04/14/2004,  11:00:00,     2079.85,     2123.00,        3.00,        3.00
04/14/2004,  12:00:00,     2044.54,     2083.00,        3.00,        3.00
04/14/2004,  13:00:00,     2023.52,     2079.00,        3.00,        3.00
04/14/2004,  14:00:00,     1997.42,     2064.00,        3.00,        3.00
04/14/2004,  15:00:00,     1945.73,     1997.00,        3.00,        3.00
04/14/2004,  16:00:00,     1861.98,     2318.00,        3.00,        3.00
04/14/2004,  17:00:00,     1779.15,     1860.00,        3.00,        3.00
04/14/2004,  18:00:00,     1724.28,     1796.00,        3.00,        3.00
04/14/2004,  19:00:00,     1680.05,     1730.00,        3.00,        3.00
