Palace Hotel
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
11/14/2013,  10:00:00,        0.00,      358.78,        0.00,        0.00
11/14/2013,  11:00:00,      354.38,      359.66,        0.00,        0.00
11/14/2013,  12:00:00,      347.06,      349.88,        0.00,        0.00
11/14/2013,  13:00:00,      341.12,      340.31,        0.00,        0.00
11/14/2013,  14:00:00,      336.69,      341.06,        0.00,        0.00
11/14/2013,  15:00:00,      332.31,      338.19,        0.00,        0.00
11/14/2013,  16:00:00,      333.38,      334.06,        0.00,        0.00
11/14/2013,  17:00:00,      336.44,      338.28,        0.00,        0.00
11/14/2013,  18:00:00,      337.12,      335.09,        0.00,        0.00
11/14/2013,  19:00:00,      338.44,      341.56,        0.00,        0.00
11/14/2013,  20:00:00,      341.00,      343.66,        0.00,        0.00
11/14/2013,  21:00:00,      342.44,      346.12,        0.00,        0.00
11/14/2013,  22:00:00,      343.62,      347.12,        0.00,        0.00
11/14/2013,  23:00:00,      347.94,      354.00,        0.00,        0.00
11/15/2013,  00:00:00,      345.12,      351.97,        0.00,        0.00
11/15/2013,  01:00:00,      346.69,      351.56,        0.00,        0.00
11/15/2013,  02:00:00,      347.06,      350.16,        0.00,        0.00
11/15/2013,  03:00:00,      345.00,      348.88,        0.00,        0.00
11/15/2013,  04:00:00,      346.25,      349.78,        0.00,        0.00
11/15/2013,  05:00:00,      349.31,      353.00,        0.00,        0.00
11/15/2013,  06:00:00,      352.25,      356.94,        0.00,        0.00
11/15/2013,  07:00:00,      354.12,      355.22,        0.00,        0.00
11/15/2013,  08:00:00,      348.75,      351.19,        0.00,        0.00
11/15/2013,  09:00:00,      346.56,      351.09,        0.00,        0.00
11/15/2013,  10:00:00,      340.94,      347.00,        0.00,        0.00
11/15/2013,  11:00:00,      335.94,      341.53,        0.00,        0.00
11/15/2013,  12:00:00,      332.06,      333.66,        0.00,        0.00
11/15/2013,  13:00:00,      327.69,      329.16,        0.00,        0.00
11/15/2013,  14:00:00,      329.50,      335.03,        0.00,        0.00
11/15/2013,  15:00:00,      326.25,      329.53,        0.00,        0.00
11/15/2013,  16:00:00,      325.75,      329.47,        0.00,        0.00
11/15/2013,  17:00:00,      326.25,      328.09,        0.00,        0.00
11/15/2013,  18:00:00,      326.88,      332.81,        0.00,        0.00
11/15/2013,  19:00:00,      326.56,      332.22,        0.00,        0.00
11/15/2013,  20:00:00,      332.94,      337.09,        0.00,        0.00
11/15/2013,  21:00:00,      334.81,      337.53,        0.00,        0.00
11/15/2013,  22:00:00,      337.44,      339.97,        0.00,        0.00
11/15/2013,  23:00:00,      337.56,      341.31,        0.00,        0.00
11/16/2013,  00:00:00,      335.69,      338.91,        0.00,        0.00
11/16/2013,  01:00:00,      333.75,      337.00,        0.00,        0.00
