Greater Rochester International Airport
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
07/25/2006,  00:00:00,      405.88,      442.66,        3.00,        3.00
07/25/2006,  01:00:00,      356.41,      363.71,        3.00,        3.00
07/25/2006,  02:00:00,      454.62,      763.24,        3.00,        3.00
07/25/2006,  03:00:00,     1105.23,     1393.46,        3.00,        3.00
07/25/2006,  04:00:00,     1430.00,     1474.50,        3.00,        3.00
07/25/2006,  05:00:00,     1363.35,     1410.34,        3.00,        3.00
07/25/2006,  06:00:00,     1266.88,     1348.98,        3.00,        3.00
07/25/2006,  07:00:00,     1250.34,     1352.68,        3.00,        3.00
07/25/2006,  08:00:00,     1145.68,     1166.68,        3.00,        3.00
07/25/2006,  09:00:00,     1157.15,     1197.03,        3.00,        3.00
07/25/2006,  10:00:00,     1246.40,     1502.19,        3.00,        3.00
07/25/2006,  11:00:00,     1495.48,     1500.68,        3.00,        3.00
07/25/2006,  12:00:00,     1515.47,     1529.92,        3.00,        3.00
07/25/2006,  13:00:00,     1496.68,     1508.26,        3.00,        3.00
07/25/2006,  14:00:00,     1505.00,     1506.07,        3.00,        3.00
07/25/2006,  15:00:00,     1503.01,     1507.81,        3.00,        3.00
07/25/2006,  16:00:00,     1499.36,     1505.91,        3.00,        3.00
07/25/2006,  17:00:00,     1487.61,     1519.92,        3.00,        3.00
07/25/2006,  18:00:00,     1436.04,     1514.59,        3.00,        3.00
07/25/2006,  19:00:00,     1493.16,     1546.91,        3.00,        3.00
07/25/2006,  20:00:00,     1445.31,     1475.00,        3.00,        3.00
07/25/2006,  21:00:00,     1446.67,     1511.46,        3.00,        3.00
07/25/2006,  22:00:00,     1421.21,     1450.61,        3.00,        3.00
07/25/2006,  23:00:00,      578.79,      866.87,        3.00,        3.00
07/26/2006,  00:00:00,      397.25,      443.47,        3.00,        3.00
07/26/2006,  01:00:00,      377.90,      400.62,        3.00,        3.00
07/26/2006,  02:00:00,      505.79,      802.12,        3.00,        3.00
07/26/2006,  03:00:00,     1064.00,     1245.76,        3.00,        3.00
07/26/2006,  04:00:00,     1265.78,     1316.14,        3.00,        3.00
07/26/2006,  05:00:00,     1227.26,     1261.91,        3.00,        3.00
07/26/2006,  06:00:00,     1164.46,     1179.60,        3.00,        3.00
07/26/2006,  07:00:00,     1156.04,     1233.22,        3.00,        3.00
07/26/2006,  08:00:00,     1157.49,     1176.27,        3.00,        3.00
07/26/2006,  09:00:00,     1166.35,     1233.12,        3.00,        3.00
07/26/2006,  10:00:00,     1408.14,     1500.70,        3.00,        3.00
07/26/2006,  11:00:00,     1509.62,     1518.90,        3.00,        3.00
07/26/2006,  12:00:00,     1485.06,     1500.10,        3.00,        3.00
07/26/2006,  13:00:00,     1500.02,     1508.01,        3.00,        3.00
