Syracuse Green Data Center
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
09/01/2011,  00:00:00,      180.00,      244.84,        3.00,        3.00
09/01/2011,  01:00:00,      238.02,      246.10,        3.00,        3.00
09/01/2011,  02:00:00,      235.01,      241.00,        3.00,        3.00
09/01/2011,  03:00:00,      235.97,      241.16,        3.00,        3.00
09/01/2011,  04:00:00,      237.98,      244.97,        3.00,        3.00
09/01/2011,  05:00:00,      236.00,      241.00,        3.00,        3.00
09/01/2011,  06:00:00,      239.01,      252.06,        3.00,        3.00
09/01/2011,  07:00:00,      237.06,      243.13,        3.00,        3.00
09/01/2011,  08:00:00,      236.96,      253.06,        3.00,        3.00
09/01/2011,  09:00:00,      237.98,      244.71,        3.00,        3.00
09/01/2011,  10:00:00,      247.04,      256.06,        3.00,        3.00
09/01/2011,  11:00:00,      293.98,      332.00,        3.00,        3.00
09/01/2011,  12:00:00,      293.98,      323.06,        3.00,        3.00
09/01/2011,  13:00:00,      296.03,      329.16,        3.00,        3.00
09/01/2011,  14:00:00,      299.97,      363.00,        3.00,        3.00
09/01/2011,  15:00:00,      300.03,      367.13,        3.00,        3.00
09/01/2011,  16:00:00,      294.98,      331.03,        3.00,        3.00
09/01/2011,  17:00:00,      249.02,      255.06,        3.00,        3.00
09/01/2011,  18:00:00,      241.98,      248.06,        3.00,        3.00
09/01/2011,  19:00:00,      237.95,      243.87,        3.00,        3.00
09/01/2011,  20:00:00,      236.03,      245.06,        3.00,        3.00
09/01/2011,  21:00:00,      208.99,      211.13,        3.00,        3.00
09/01/2011,  22:00:00,      211.01,      214.22,        3.00,        3.00
09/01/2011,  23:00:00,      212.96,      218.94,        3.00,        3.00
09/02/2011,  00:00:00,      213.06,      214.19,        3.00,        3.00
09/02/2011,  01:00:00,      217.95,      231.84,        3.00,        3.00
09/02/2011,  02:00:00,      229.02,      233.22,        3.00,        3.00
09/02/2011,  03:00:00,      232.00,      236.06,        3.00,        3.00
09/02/2011,  04:00:00,      234.05,      242.87,        3.00,        3.00
09/02/2011,  05:00:00,      235.94,      248.87,        3.00,        3.00
09/02/2011,  06:00:00,      238.02,      241.03,        3.00,        3.00
09/02/2011,  07:00:00,      236.03,      242.00,        3.00,        3.00
09/02/2011,  08:00:00,      237.95,      241.00,        3.00,        3.00
09/02/2011,  09:00:00,      242.05,      249.13,        3.00,        3.00
09/02/2011,  10:00:00,      244.93,      247.97,        3.00,        3.00
09/02/2011,  11:00:00,      242.05,      248.10,        3.00,        3.00
09/02/2011,  12:00:00,      244.00,      247.97,        3.00,        3.00
09/02/2011,  13:00:00,      245.98,      250.94,        3.00,        3.00
09/02/2011,  14:00:00,      239.97,      252.97,        3.00,        3.00
09/02/2011,  15:00:00,      236.06,      248.78,        3.00,        3.00
