The Intrepid
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
11/01/2015,  00:00:00,      285.21,      311.37,        3.00,        3.00
11/01/2015,  01:00:00,      280.27,      298.70,        3.00,        3.00
11/01/2015,  02:00:00,      281.06,      302.01,        3.00,        3.00
11/01/2015,  03:00:00,      278.24,      304.80,        3.00,        3.00
11/01/2015,  04:00:00,      280.77,      301.19,        3.00,        3.00
11/01/2015,  05:00:00,      284.07,      297.50,        3.00,        3.00
11/01/2015,  06:00:00,      284.63,      303.72,        3.00,        3.00
11/01/2015,  07:00:00,      288.11,      311.30,        3.00,        3.00
11/01/2015,  08:00:00,      387.57,      430.48,        3.00,        3.00
11/01/2015,  09:00:00,      411.58,      438.47,        3.00,        3.00
11/01/2015,  10:00:00,      415.61,      441.13,        3.00,        3.00
11/01/2015,  11:00:00,      424.76,      448.26,        3.00,        3.00
11/01/2015,  12:00:00,      427.46,      447.36,        3.00,        3.00
11/01/2015,  13:00:00,      427.07,      452.62,        3.00,        3.00
11/01/2015,  14:00:00,      420.88,      434.00,        3.00,        3.00
11/01/2015,  15:00:00,      414.59,      439.13,        3.00,        3.00
11/01/2015,  16:00:00,      409.82,      422.67,        3.00,        3.00
11/01/2015,  17:00:00,      408.57,      427.77,        3.00,        3.00
11/01/2015,  18:00:00,      308.58,      404.26,        3.00,        3.00
11/01/2015,  19:00:00,      302.29,      320.96,        3.00,        3.00
11/01/2015,  20:00:00,      300.39,      310.26,        3.00,        3.00
11/01/2015,  21:00:00,      299.56,      319.90,        3.00,        3.00
11/01/2015,  22:00:00,      289.80,      308.71,        3.00,        3.00
11/01/2015,  23:00:00,      292.20,      306.97,        3.00,        3.00
11/02/2015,  00:00:00,      294.17,      309.33,        3.00,        3.00
11/02/2015,  01:00:00,      292.49,      313.81,        3.00,        3.00
11/02/2015,  02:00:00,      289.70,      303.42,        3.00,        3.00
11/02/2015,  03:00:00,      289.75,      307.24,        3.00,        3.00
11/02/2015,  04:00:00,      288.63,      303.72,        3.00,        3.00
11/02/2015,  05:00:00,      290.95,      310.26,        3.00,        3.00
11/02/2015,  06:00:00,      293.28,      311.50,        3.00,        3.00
11/02/2015,  07:00:00,      323.89,      389.73,        3.00,        3.00
11/02/2015,  08:00:00,      399.93,      435.14,        3.00,        3.00
11/02/2015,  09:00:00,      427.55,      441.29,        3.00,        3.00
11/02/2015,  10:00:00,      439.77,      459.82,        3.00,        3.00
11/02/2015,  11:00:00,      437.20,      481.94,        3.00,        3.00
11/02/2015,  12:00:00,      433.56,      495.22,        3.00,        3.00
11/02/2015,  13:00:00,      421.26,      468.02,        3.00,        3.00
11/02/2015,  14:00:00,      414.63,      435.77,        3.00,        3.00
11/02/2015,  15:00:00,      410.66,      454.07,        3.00,        3.00
