Two Tudor
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
10/13/2015,  16:00:00,      221.27,      249.63,        3.00,        3.00
10/13/2015,  17:00:00,      256.04,      283.32,        3.00,        3.00
10/13/2015,  18:00:00,      270.92,      290.28,        3.00,        3.00
10/13/2015,  19:00:00,      261.54,      296.41,        3.00,        3.00
10/13/2015,  20:00:00,      263.53,      286.50,        3.00,        3.00
10/13/2015,  21:00:00,      244.31,      266.49,        3.00,        3.00
10/13/2015,  22:00:00,      212.09,      242.84,        3.00,        3.00
10/13/2015,  23:00:00,      179.38,      196.44,        3.00,        3.00
10/14/2015,  00:00:00,      160.38,      245.14,        3.00,        3.00
10/14/2015,  01:00:00,      150.82,      165.53,        3.00,        3.00
10/14/2015,  02:00:00,      145.73,      159.81,        3.00,        3.00
10/14/2015,  03:00:00,      145.02,      222.28,        3.00,        3.00
10/14/2015,  04:00:00,      150.65,      184.94,        3.00,        3.00
10/14/2015,  05:00:00,      164.37,      185.60,        3.00,        3.00
10/14/2015,  06:00:00,      200.13,      228.36,        3.00,        3.00
10/14/2015,  07:00:00,      201.99,      220.68,        3.00,        3.00
10/14/2015,  08:00:00,      182.18,      206.94,        3.00,        3.00
10/14/2015,  09:00:00,      169.58,      200.25,        3.00,        3.00
10/14/2015,  10:00:00,      177.74,      198.03,        3.00,        3.00
10/14/2015,  11:00:00,      187.72,      213.71,        3.00,        3.00
10/14/2015,  12:00:00,      184.89,      199.72,        3.00,        3.00
10/14/2015,  13:00:00,      182.25,      199.63,        3.00,        3.00
10/14/2015,  14:00:00,      192.53,      208.17,        3.00,        3.00
10/14/2015,  15:00:00,      197.24,      219.17,        3.00,        3.00
10/14/2015,  16:00:00,      213.66,      233.82,        3.00,        3.00
10/14/2015,  17:00:00,      246.80,      280.67,        3.00,        3.00
10/14/2015,  18:00:00,      260.45,      298.78,        3.00,        3.00
10/14/2015,  19:00:00,      252.47,      277.55,        3.00,        3.00
10/14/2015,  20:00:00,      247.46,      265.18,        3.00,        3.00
10/14/2015,  21:00:00,      230.21,      252.03,        3.00,        3.00
10/14/2015,  22:00:00,      200.57,      223.87,        3.00,        3.00
10/14/2015,  23:00:00,      171.30,      191.61,        3.00,        3.00
10/15/2015,  00:00:00,      152.80,      172.47,        3.00,        3.00
10/15/2015,  01:00:00,      142.00,      156.53,        3.00,        3.00
10/15/2015,  02:00:00,      136.79,      148.01,        3.00,        3.00
10/15/2015,  03:00:00,      135.74,      159.77,        3.00,        3.00
10/15/2015,  04:00:00,      148.65,      163.59,        3.00,        3.00
10/15/2015,  05:00:00,      165.83,      197.21,        3.00,        3.00
10/15/2015,  06:00:00,      201.90,      228.25,        3.00,        3.00
10/15/2015,  07:00:00,      202.97,      226.05,        3.00,        3.00
