Ultraflex
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
05/27/2011,  00:00:00,      419.75,      481.40,        3.00,        3.00
05/27/2011,  01:00:00,      352.22,      502.00,        1.00,        1.00
05/27/2011,  02:00:00,      373.38,      454.40,        3.00,        3.00
05/27/2011,  03:00:00,      397.30,      430.30,        3.00,        3.00
05/27/2011,  04:00:00,      399.65,      439.70,        3.00,        3.00
05/27/2011,  05:00:00,      439.35,      489.30,        3.00,        3.00
05/27/2011,  06:00:00,      393.10,      431.10,        3.00,        3.00
05/27/2011,  07:00:00,      497.73,      556.50,        3.00,        3.00
05/27/2011,  08:00:00,      498.12,      566.00,        3.00,        3.00
05/27/2011,  09:00:00,      537.33,      607.60,        3.00,        3.00
05/27/2011,  10:00:00,      457.38,      525.30,        3.00,        3.00
05/27/2011,  11:00:00,      551.75,      573.80,        3.00,        3.00
05/27/2011,  12:00:00,      533.95,      597.50,        3.00,        3.00
05/27/2011,  13:00:00,      534.12,      561.40,        3.00,        3.00
05/27/2011,  14:00:00,      452.33,      479.50,        3.00,        3.00
05/27/2011,  15:00:00,      443.52,      529.10,        3.00,        3.00
05/27/2011,  16:00:00,      473.25,      505.30,        3.00,        3.00
05/27/2011,  17:00:00,      315.43,      368.80,        3.00,        3.00
05/27/2011,  18:00:00,      400.20,      462.70,        3.00,        3.00
05/27/2011,  19:00:00,      386.35,      413.80,        3.00,        3.00
05/27/2011,  20:00:00,      424.32,      457.50,        3.00,        3.00
05/27/2011,  21:00:00,      471.12,      500.10,        3.00,        3.00
05/27/2011,  22:00:00,      426.62,      459.70,        3.00,        3.00
05/27/2011,  23:00:00,      247.90,      300.80,        3.00,        3.00
05/28/2011,  00:00:00,      329.70,      436.20,        3.00,        3.00
05/28/2011,  01:00:00,      382.15,      419.10,        3.00,        3.00
05/28/2011,  02:00:00,      362.60,      381.30,        3.00,        3.00
05/28/2011,  03:00:00,      415.62,      464.30,        3.00,        3.00
05/28/2011,  04:00:00,      422.35,      444.50,        3.00,        3.00
05/28/2011,  05:00:00,      363.35,      442.10,        3.00,        3.00
05/28/2011,  06:00:00,      386.02,      409.70,        3.00,        3.00
05/28/2011,  07:00:00,      382.18,      428.30,        3.00,        3.00
05/28/2011,  08:00:00,      370.95,      442.90,        1.00,        1.00
05/28/2011,  09:00:00,      359.25,      424.60,        3.00,        3.00
05/28/2011,  10:00:00,      387.60,      420.70,        3.00,        3.00
05/28/2011,  11:00:00,      398.77,      438.60,        3.00,        3.00
05/28/2011,  12:00:00,      429.77,      443.10,        3.00,        3.00
05/28/2011,  13:00:00,      429.75,      454.30,        3.00,        3.00
05/28/2011,  14:00:00,      382.42,      448.20,        3.00,        3.00
05/28/2011,  15:00:00,      384.12,      448.70,        3.00,        3.00
