Union College
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
08/01/2016,  00:00:00,     1463.05,     1966.46,        3.00,        3.00
08/01/2016,  01:00:00,     1939.38,     1952.41,        3.00,        3.00
08/01/2016,  02:00:00,     1934.09,     1938.82,        3.00,        3.00
08/01/2016,  03:00:00,     1929.71,     1936.77,        3.00,        3.00
08/01/2016,  04:00:00,     1933.94,     1953.36,        3.00,        3.00
08/01/2016,  05:00:00,     2032.24,     2106.24,        3.00,        3.00
08/01/2016,  06:00:00,     2146.76,     2184.81,        3.00,        3.00
08/01/2016,  07:00:00,     2221.14,     2246.27,        3.00,        3.00
08/01/2016,  08:00:00,     2287.75,     2336.70,        3.00,        3.00
08/01/2016,  09:00:00,     2410.16,     2449.88,        3.00,        3.00
08/01/2016,  10:00:00,     2461.08,     2507.72,        3.00,        3.00
08/01/2016,  11:00:00,     2556.18,     2598.67,        3.00,        3.00
08/01/2016,  12:00:00,     2538.99,     2569.10,        3.00,        3.00
08/01/2016,  13:00:00,     2511.24,     2552.43,        3.00,        3.00
08/01/2016,  14:00:00,     2518.34,     2545.37,        3.00,        3.00
08/01/2016,  15:00:00,     2515.45,     2560.49,        3.00,        3.00
08/01/2016,  16:00:00,     2346.22,     2369.85,        3.00,        3.00
08/01/2016,  17:00:00,     2226.36,     2283.10,        3.00,        3.00
08/01/2016,  18:00:00,     2161.36,     2174.21,        3.00,        3.00
08/01/2016,  19:00:00,     2134.77,     2162.54,        3.00,        3.00
08/01/2016,  20:00:00,     2213.61,     2246.86,        3.00,        3.00
08/01/2016,  21:00:00,     2248.56,     2256.90,        3.00,        3.00
08/01/2016,  22:00:00,     2141.94,     2231.13,        3.00,        3.00
08/01/2016,  23:00:00,     2014.92,     2029.65,        3.00,        3.00
08/02/2016,  00:00:00,     1995.55,     2006.85,        3.00,        3.00
08/02/2016,  01:00:00,     1971.35,     1978.48,        3.00,        3.00
08/02/2016,  02:00:00,     1959.13,     1976.16,        3.00,        3.00
08/02/2016,  03:00:00,     1916.72,     1928.87,        3.00,        3.00
08/02/2016,  04:00:00,     1915.45,     1918.06,        3.00,        3.00
08/02/2016,  05:00:00,     1999.28,     2070.07,        3.00,        3.00
08/02/2016,  06:00:00,     2081.05,     2097.29,        3.00,        3.00
08/02/2016,  07:00:00,     2114.72,     2127.85,        3.00,        3.00
08/02/2016,  08:00:00,     2212.23,     2290.84,        3.00,        3.00
08/02/2016,  09:00:00,     2328.78,     2419.91,        3.00,        3.00
08/02/2016,  10:00:00,     2482.02,     2558.51,        3.00,        3.00
08/02/2016,  11:00:00,     2502.84,     2521.50,        3.00,        3.00
08/02/2016,  12:00:00,     2531.67,     2565.66,        3.00,        3.00
08/02/2016,  13:00:00,     2477.53,     2606.29,        3.00,        3.00
