VIP Country Club
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
01/24/2006,  00:00:00,       35.35,       44.30,        3.00,        3.00
01/24/2006,  01:00:00,       25.45,       33.03,        3.00,        3.00
01/24/2006,  02:00:00,       21.82,       27.64,        3.00,        3.00
01/24/2006,  03:00:00,       36.26,       40.39,        3.00,        3.00
01/24/2006,  04:00:00,       27.46,       36.90,        3.00,        3.00
01/24/2006,  05:00:00,       22.17,       28.49,        3.00,        3.00
01/24/2006,  06:00:00,       24.73,       32.35,        3.00,        3.00
01/24/2006,  07:00:00,       22.21,       31.91,        3.00,        3.00
01/24/2006,  08:00:00,       28.34,       42.51,        3.00,        3.00
01/24/2006,  09:00:00,       25.97,       43.53,        3.00,        3.00
01/24/2006,  10:00:00,       35.67,       47.80,        3.00,        3.00
01/24/2006,  11:00:00,       41.45,       47.20,        3.00,        3.00
01/24/2006,  12:00:00,       38.02,       46.66,        3.00,        3.00
01/24/2006,  13:00:00,       38.20,       53.42,        3.00,        3.00
01/24/2006,  14:00:00,       33.60,       40.63,        3.00,        3.00
01/24/2006,  15:00:00,       36.41,       58.77,        3.00,        3.00
01/24/2006,  16:00:00,       37.34,       47.71,        3.00,        3.00
01/24/2006,  17:00:00,       46.70,       62.17,        3.00,        3.00
01/24/2006,  18:00:00,       55.86,       59.43,        3.00,        3.00
01/24/2006,  19:00:00,       64.41,      117.56,        3.00,        3.00
01/24/2006,  20:00:00,       61.60,       87.10,        3.00,        3.00
01/24/2006,  21:00:00,       50.84,       54.48,        3.00,        3.00
01/24/2006,  22:00:00,       31.73,       39.50,        3.00,        3.00
01/24/2006,  23:00:00,       35.30,       41.69,        3.00,        3.00
01/25/2006,  00:00:00,       28.11,       39.77,        3.00,        3.00
01/25/2006,  01:00:00,       34.52,       41.02,        3.00,        3.00
01/25/2006,  02:00:00,       36.35,       43.19,        3.00,        3.00
01/25/2006,  03:00:00,       32.39,       35.01,        3.00,        3.00
01/25/2006,  04:00:00,       35.52,       44.22,        3.00,        3.00
01/25/2006,  05:00:00,       29.80,       41.00,        3.00,        3.00
01/25/2006,  06:00:00,       27.22,       38.56,        3.00,        3.00
01/25/2006,  07:00:00,       34.00,       44.79,        3.00,        3.00
01/25/2006,  08:00:00,       33.61,       40.34,        3.00,        3.00
01/25/2006,  09:00:00,       36.40,       43.23,        3.00,        3.00
01/25/2006,  10:00:00,       44.30,       48.41,        3.00,        3.00
01/25/2006,  11:00:00,       38.68,       44.17,        3.00,        3.00
01/25/2006,  12:00:00,       43.11,       58.30,        3.00,        3.00
01/25/2006,  13:00:00,       74.34,       94.00,        3.00,        3.00
01/25/2006,  14:00:00,       83.12,       91.81,        3.00,        3.00
01/25/2006,  15:00:00,       77.81,       88.14,        3.00,        3.00
